Designation,Class,ba/t,h/w,Area,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,J,Cw,d,b,t,w,k
HSS203x203x13,,12.0,12.0,9260.0,54.7,538.0,76.9,651.0,54.7,538.0,76.9,651.0,90200.0,,203.2,203.2,12.7,12.7,
HSS203x203x9.5,,17.32,17.32,7150.0,43.9,432.0,78.4,513.0,43.9,432.0,78.4,513.0,70800.0,,203.2,203.2,9.53,9.53,
HSS203x203x7.9,,21.59,21.59,6040.0,37.8,372.0,79.2,438.0,37.8,372.0,79.2,438.0,60300.0,,203.2,203.2,7.94,7.94,
HSS203x203x6.4,,28.0,28.0,4900.0,31.3,308.0,79.9,359.0,31.3,308.0,79.9,359.0,49300.0,,203.2,203.2,6.35,6.35,
HSS203x203x4.8,,38.51,38.51,3730.0,24.3,239.0,80.7,276.0,24.3,239.0,80.7,276.0,37800.0,,203.2,203.2,4.78,4.78,
HSS178x178x16,,7.2,7.2,9640.0,40.6,457.0,64.9,571.0,40.6,457.0,64.9,571.0,69300.0,,177.8,177.8,15.88,15.88,
HSS178x178x13,,10.0,10.0,7970.0,35.2,396.0,66.5,484.0,35.2,396.0,66.5,484.0,58800.0,,177.8,177.8,12.7,12.7,
HSS178x178x9.5,,14.66,14.66,6180.0,28.6,322.0,68.0,385.0,28.6,322.0,68.0,385.0,46500.0,,177.8,177.8,9.53,9.53,
HSS178x178x7.9,,18.39,18.39,5230.0,24.8,279.0,68.8,330.0,24.8,279.0,68.8,330.0,39800.0,,177.8,177.8,7.94,7.94,
HSS178x178x6.4,,24.0,24.0,4250.0,20.6,231.0,69.60000000000001,271.0,20.6,231.0,69.60000000000001,271.0,32600.0,,177.8,177.8,6.35,6.35,
HSS178x178x4.8,,33.2,33.2,3250.0,16.1,181.0,70.3,210.0,16.1,181.0,70.3,210.0,25100.0,,177.8,177.8,4.78,4.78,
HSS152x152x13,,8.0,8.0,6680.0,21.0,276.0,56.1,342.0,21.0,276.0,56.1,342.0,35600.0,,152.4,152.4,12.7,12.7,
HSS152x152x9.5,,11.99,11.99,5210.0,17.3,227.0,57.6,275.0,17.3,227.0,57.6,275.0,28500.0,,152.4,152.4,9.53,9.53,
HSS152x152x7.9,,15.19,15.19,4430.0,15.1,198.0,58.400000000000006,237.0,15.1,198.0,58.400000000000006,237.0,24500.0,,152.4,152.4,7.94,7.94,
HSS152x152x6.4,,20.0,20.0,3610.0,12.6,166.0,59.2,196.0,12.6,166.0,59.2,196.0,20200.0,,152.4,152.4,6.35,6.35,
HSS152x152x4.8,,27.88,27.88,2760.0,9.93,130.0,59.900000000000006,152.0,9.93,130.0,59.900000000000006,152.0,15600.0,,152.4,152.4,4.78,4.78,
HSS127x127x13,,6.0,6.0,5390.0,11.3,177.0,45.7,225.0,11.3,177.0,45.7,225.0,19500.0,,127.0,127.0,12.7,12.7,
