Designation,Area_mm2,t_mm,w_mm,b_mm,d_mm,rx_mm,ry_mm
WT205x19.5,2500.0,8.8,6.4,140.0,200.0,63.1,28.400000000000002
WT180x543,69300.0,125.0,78.0,454.0,285.0,66.7,119.0
WT180x495,63100.0,115.0,71.9,448.0,275.0,64.10000000000001,117.0
WT180x450,57500.0,106.0,65.9,442.0,266.0,61.7,115.0
WT180x409,52200.0,97.0,60.5,437.0,257.0,59.400000000000006,114.0
WT180x372,47400.0,88.9,55.6,432.0,249.0,57.400000000000006,112.0
WT180x338.5,43200.0,81.5,51.2,428.0,242.0,55.800000000000004,111.0
WT180x317,40400.0,77.1,47.6,424.0,237.0,54.300000000000004,110.0
WT180x296,37800.0,72.3,45.0,421.0,233.0,53.5,109.0
WT180x275.5,35100.0,67.6,42.0,418.0,228.0,52.300000000000004,108.0
WT180x254.5,32400.0,62.7,39.1,416.0,223.0,51.1,108.0
WT180x231.5,29500.0,57.4,35.8,412.0,218.0,50.0,107.0
WT180x210.5,26900.0,52.6,32.8,409.0,213.0,48.900000000000006,106.0
WT180x191,24400.0,48.0,29.8,406.0,208.0,47.7,105.0
WT180x173.5,22100.0,43.7,27.2,404.0,204.0,46.800000000000004,104.0
WT180x157,20000.0,39.6,24.9,401.0,200.0,46.2,103.0
WT180x143.5,18300.0,36.6,22.6,399.0,197.0,45.300000000000004,103.0
WT180x131,16700.0,33.3,21.1,398.0,194.0,45.0,102.0
WT180x118.5,15000.0,30.2,18.9,395.0,190.0,44.0,102.0
WT180x108,13800.0,27.7,17.3,394.0,188.0,43.6,101.0
WT180x98,12500.0,26.2,16.4,374.0,186.0,43.800000000000004,95.60000000000001
WT180x89.5,11400.0,23.9,15.0,373.0,184.0,43.5,95.2
WT180x81,10300.0,21.8,13.3,371.0,182.0,42.7,94.9
WT180x73.5,9390.0,19.8,12.3,370.0,180.0,42.6,94.30000000000001
WT180x67,8530.0,18.0,11.2,369.0,178.0,42.2,94.0
WT180x61,7760.0,21.7,13.0,257.0,182.0,47.2,62.900000000000006
WT180x55,7020.0,19.9,11.4,256.0,180.0,46.2,63.0
WT180x50.5,6450.0,18.3,10.5,255.0,179.0,46.1,62.6
WT180x45.5,5790.0,16.4,9.5,254.0,177.0,45.800000000000004,62.2
WT180x39.5,5050.0,16.8,9.4,205.0,177.0,47.800000000000004,48.900000000000006
WT180x36,4550.0,15.1,8.6,204.0,175.0,47.5,48.5
WT180x32,4070.0,13.5,7.7,203.0,174.0,47.400000000000006,48.1
WT180x28.5,3610.0,13.1,7.9,172.0,179.0,51.900000000000006,39.300000000000004
WT180x25.5,3220.0,11.6,7.2,171.0,178.0,52.0,38.7
WT180x22.5,2870.0,9.8,6.9,171.0,176.0,52.7,37.800000000000004
WT180x19.5,2490.0,10.7,6.5,128.0,177.0,54.0,27.400000000000002
WT180x16.5,2090.0,8.5,5.8,127.0,175.0,54.5,26.400000000000002
WT155x250,31900.0,75.1,45.1,340.0,214.0,50.0,88.0
WT155x227,28900.0,68.7,41.3,336.0,208.0,48.6,86.80000000000001
WT155x207.5,26500.0,62.7,38.9,334.0,202.0,47.400000000000006,85.9
WT155x187.5,23900.0,57.2,35.4,330.0,196.0,46.0,84.80000000000001
WT155x171,21900.0,52.6,32.6,328.0,191.0,44.800000000000004,84.2
WT155x156.5,20000.0,48.3,30.0,325.0,187.0,43.900000000000006,83.30000000000001
WT155x141.5,18000.0,44.1,26.9,322.0,183.0,42.800000000000004,82.60000000000001
WT155x126.5,16100.0,39.6,24.4,319.0,178.0,41.800000000000004,81.60000000000001
WT155x113,14400.0,35.6,22.1,317.0,174.0,41.0,81.0
WT155x101,12900.0,31.8,20.1,315.0,171.0,40.7,80.10000000000001
WT155x89.5,11400.0,28.1,18.0,313.0,167.0,39.900000000000006,79.4
WT155x79,10000.0,25.1,15.5,310.0,164.0,38.900000000000006,78.9
WT155x71.5,9120.0,22.9,14.0,309.0,162.0,38.400000000000006,78.60000000000001
WT155x64.5,8250.0,20.6,13.1,308.0,159.0,38.2,78.0
WT155x59,7480.0,18.7,11.9,307.0,157.0,37.800000000000004,77.60000000000001
WT155x53.5,6810.0,17.0,10.9,306.0,156.0,37.7,77.2
WT155x48.5,6170.0,15.4,9.9,305.0,154.0,37.300000000000004,76.9
WT155x43,5500.0,16.3,9.1,254.0,155.0,38.0,63.6
WT155x39.5,5020.0,14.6,8.8,254.0,153.0,38.300000000000004,63.0
WT155x37,4710.0,16.3,9.4,205.0,155.0,40.7,49.900000000000006
WT155x33.5,4220.0,14.6,8.5,204.0,153.0,40.300000000000004,49.5
WT155x30,3770.0,13.1,7.5,203.0,152.0,40.0,49.2
WT155x26,3340.0,13.2,7.6,167.0,159.0,44.7,39.2
WT155x22.5,2850.0,11.2,6.6,166.0,157.0,44.5,38.7
WT155x19.5,2470.0,9.7,5.8,165.0,155.0,44.2,38.400000000000006
WT155x16.5,2090.0,10.8,6.6,102.0,157.0,48.5,21.400000000000002
WT155x14,1810.0,8.9,6.0,102.0,155.0,48.6,20.900000000000002
WT155x12,1520.0,6.7,5.6,101.0,153.0,49.1,19.5
WT155x10.5,1350.0,5.7,5.1,101.0,152.0,49.1,19.1
WT125x83.5,10700.0,31.8,19.2,265.0,145.0,33.7,68.0
WT125x74.5,9490.0,28.4,17.3,263.0,141.0,32.9,67.4
WT125x65.5,8360.0,25.1,15.4,261.0,138.0,32.300000000000004,66.7
WT125x57.5,7320.0,22.1,13.5,259.0,135.0,31.700000000000003,66.2
WT125x50.5,6440.0,19.6,11.9,257.0,132.0,31.0,65.60000000000001
WT125x44.5,5700.0,17.3,10.7,256.0,130.0,30.700000000000003,65.10000000000001
WT125x40,5100.0,15.6,9.4,255.0,128.0,30.1,65.0
WT125x36.5,4650.0,14.2,8.6,254.0,127.0,30.0,64.60000000000001
WT125x33.5,4280.0,15.7,8.9,204.0,129.0,31.8,51.0
WT125x29,3710.0,13.5,8.0,203.0,126.0,31.5,50.400000000000006
WT125x24.5,3130.0,11.0,7.4,202.0,124.0,32.2,49.2
WT125x22.5,2860.0,13.0,7.6,148.0,133.0,36.7,35.1
WT125x19.5,2460.0,11.2,6.6,147.0,131.0,36.4,34.7
WT125x16.5,2080.0,9.1,6.1,146.0,129.0,37.0,33.7
WT125x14,1810.0,10.0,6.4,102.0,130.0,39.2,22.1
WT125x12.5,1620.0,8.4,6.1,102.0,129.0,39.800000000000004,21.5
WT125x11,1430.0,6.9,5.8,102.0,127.0,39.900000000000006,20.700000000000003
WT125x9,1140.0,5.3,4.8,101.0,126.0,40.1,20.0
WT100x50,6340.0,23.7,14.5,210.0,115.0,27.0,53.7
WT100x43,5520.0,20.6,13.0,209.0,111.0,26.200000000000003,53.300000000000004
WT100x35.5,4550.0,17.4,10.2,206.0,108.0,25.1,52.800000000000004
WT100x29.5,3780.0,14.2,9.1,205.0,105.0,25.1,52.0
WT100x26,3330.0,12.6,7.9,204.0,103.0,24.5,51.800000000000004
WT100x23,2930.0,11.0,7.2,203.0,102.0,24.700000000000003,51.2
WT100x21,2660.0,11.8,7.2,166.0,103.0,25.900000000000002,41.2
WT100x18,2290.0,10.2,6.2,165.0,101.0,25.400000000000002,40.900000000000006
WT100x15.5,2000.0,10.2,6.4,134.0,105.0,28.5,32.0
WT100x13.5,1700.0,8.4,5.8,133.0,104.0,29.1,31.200000000000003
WT100x11,1430.0,8.0,6.2,102.0,103.0,30.900000000000002,22.3
WT100x9.5,1240.0,6.5,5.8,102.0,102.0,31.3,21.6
WT100x7.5,952.0,5.2,4.3,100.0,100.0,30.5,21.400000000000002
WT75x18.5,2360.0,11.6,8.1,154.0,81.0,20.0,38.7
WT75x15,1900.0,9.3,6.6,153.0,78.5,19.6,38.300000000000004
WT75x11,1420.0,6.6,5.8,152.0,76.0,20.200000000000003,36.9
WT75x12,1530.0,10.3,6.6,102.0,80.0,21.5,24.5
WT75x9,1140.0,7.1,5.8,102.0,76.5,21.8,23.5
WT75x7,864.0,5.5,4.3,100.0,75.0,21.400000000000002,23.0
WT65x14,1790.0,10.9,6.9,128.0,65.5,15.4,32.7
WT65x12,1500.0,9.1,6.1,127.0,63.5,15.3,32.2
WT50x9.5,1240.0,8.8,7.1,103.0,53.0,13.4,25.5
