Designation,Class,ba/t,h/w,Area,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,J,Cw,d,b,t,w,k
HSS203x152x9.5,,11.99,17.32,6180.0,34.8,343.0,75.10000000000001,420.0,22.3,292.0,60.0,344.0,44400.0,,203.2,152.4,9.53,9.53,
HSS203x152x7.9,,15.19,21.59,5230.0,30.2,297.0,75.9,359.0,19.3,253.0,60.800000000000004,295.0,38000.0,,203.2,152.4,7.94,7.94,
HSS203x152x6.4,,20.0,28.0,4250.0,25.0,246.0,76.7,295.0,16.1,211.0,61.5,243.0,31200.0,,203.2,152.4,6.35,6.35,
HSS203x152x4.8,,27.88,38.51,3250.0,19.5,192.0,77.5,228.0,12.6,165.0,62.2,188.0,24100.0,,203.2,152.4,4.78,4.78,
HSS203x102x13,,4.0,12.0,6680.0,31.3,308.0,68.4,405.0,10.2,201.0,39.1,246.0,26700.0,,203.2,101.6,12.7,12.7,
HSS203x102x9.5,,6.66,17.32,5210.0,25.8,254.0,70.3,326.0,8.57,169.0,40.5,199.0,21700.0,,203.2,101.6,9.53,9.53,
HSS203x102x7.9,,8.8,21.59,4430.0,22.5,221.0,71.2,281.0,7.53,148.0,41.300000000000004,172.0,18800.0,,203.2,101.6,7.94,7.94,
HSS203x102x6.4,,12.0,28.0,3610.0,18.8,185.0,72.2,232.0,6.35,125.0,42.0,143.0,15600.0,,203.2,101.6,6.35,6.35,
HSS203x102x4.8,,17.26,38.51,2760.0,14.7,145.0,73.10000000000001,180.0,5.03,99.0,42.7,111.0,12100.0,,203.2,101.6,4.78,4.78,
HSS178x127x13,,6.0,10.0,6680.0,26.4,297.0,62.900000000000006,378.0,15.5,244.0,48.1,298.0,33300.0,,177.8,127.0,12.7,12.7,
HSS178x127x9.5,,9.33,14.66,5210.0,21.7,244.0,64.60000000000001,303.0,12.8,202.0,49.6,240.0,26800.0,,177.8,127.0,9.53,9.53,
HSS178x127x7.9,,11.99,18.39,4430.0,18.9,213.0,65.4,261.0,11.2,177.0,50.300000000000004,207.0,23000.0,,177.8,127.0,7.94,7.94,
HSS178x127x6.4,,16.0,24.0,3610.0,15.8,178.0,66.2,216.0,9.4,148.0,51.1,171.0,19000.0,,177.8,127.0,6.35,6.35,
HSS178x127x4.8,,22.57,33.2,2760.0,12.4,140.0,67.10000000000001,168.0,7.41,117.0,51.800000000000004,133.0,14700.0,,177.8,127.0,4.78,4.78,
HSS152x102x13,,4.0,8.0,5390.0,14.7,193.0,52.2,252.0,7.67,151.0,37.7,189.0,17500.0,,152.4,101.6,12.7,12.7,
HSS152x102x9.5,,6.66,11.99,4240.0,12.4,162.0,54.0,206.0,6.51,128.0,39.2,155.0,14400.0,,152.4,101.6,9.53,9.53,
HSS152x102x7.9,,8.8,15.19,3620.0,10.9,143.0,54.900000000000006,178.0,5.76,113.0,39.900000000000006,134.0,12500.0,,152.4,101.6,7.94,7.94,
HSS152x102x6.4,,12.0,20.0,2960.0,9.19,121.0,55.7,148.0,4.88,96.2,40.6,112.0,10400.0,,152.4,101.6,6.35,6.35,
HSS152x102x4.8,,17.26,27.88,2280.0,7.28,95.6,56.5,116.0,3.89,76.6,41.300000000000004,87.8,8150.0,,152.4,101.6,4.78,4.78,
HSS152x102x3.2,,27.95,43.92,1550.0,5.1,66.9,57.400000000000006,80.2,2.74,53.9,42.1,60.8,5620.0,,152.4,101.6,3.18,3.18,
HSS152x76x13,,2.0,8.0,4750.0,11.5,152.0,49.300000000000004,207.0,3.71,97.3,28.0,124.0,9960.0,,152.4,76.2,12.7,12.7,
HSS152x76x9.5,,4.0,11.99,3760.0,9.89,130.0,51.300000000000004,171.0,3.24,85.0,29.400000000000002,104.0,8450.0,,152.4,76.2,9.53,9.53,
HSS152x76x7.9,,5.6,15.19,3220.0,8.78,115.0,52.300000000000004,149.0,2.91,76.3,30.1,91.1,7440.0,,152.4,76.2,7.94,7.94,
HSS152x76x6.4,,8.0,20.0,2640.0,7.47,98.0,53.2,125.0,2.5,65.5,30.8,76.6,6270.0,,152.4,76.2,6.35,6.35,
HSS152x76x4.8,,11.94,27.88,2040.0,5.96,78.2,54.1,98.1,2.02,52.9,31.5,60.5,4950.0,,152.4,76.2,4.78,4.78,
HSS152x76x3.2,,19.96,43.92,1390.0,4.2,55.1,55.0,68.1,1.44,37.7,32.2,42.2,3450.0,,152.4,76.2,3.18,3.18,
