Designation,Class,ba/t,h/w,Dead Load (kN/m),Area (mmý),Ix (10^6 mm?),Sx (10^3 mm?),rx (mm),Zx (10^3 mm?),Iy (10^6 mm?),Sy (10^3 mm?),ry (mm),Zy (10^3 mm?),J (10^3 mm?),Cw (10^9 mm?),Nominal Mass (kg/m),Theoretical Mass (kg/m),Depth d (mm),Flange Width b (mm),Flange Thickness t (mm),Web Thickness w (mm),Distance a (mm),Distance T (mm),Distance k (mm),Distance k? (mm),d-2t (mm),Surface Area Total (mý/m),Surface Area Minus Top Flange (mý/m),Imperial Designation
W1000x393,1,3.45,38.0,3.85,50100.0,8080.0,15900.0,402.0,18500.0,205.0,1350.0,64.0,2170.0,23300.0,48.4,393.0,392.7,1016.0,303.0,43.9,24.4,139.0,865.0,75.0,42.0,928.0,3.2,2.89,W40x264
W1000x350,1,3.78,44.0,3.43,44600.0,7230.0,14300.0,403.0,16600.0,185.0,1220.0,64.4,1940.0,17200.0,43.2,350.0,349.4,1008.0,302.0,40.0,21.1,140.0,865.0,72.0,41.0,928.0,3.18,2.88,W40x235
W1000x314,1,4.18,48.6,3.08,40000.0,6440.0,12900.0,401.0,14900.0,162.0,1080.0,63.7,1710.0,12600.0,37.7,314.0,314.3,1000.0,300.0,35.9,19.1,140.0,865.0,67.0,40.0,928.0,3.16,2.86,W40x211
W1000x272,1,4.84,56.2,2.67,34600.0,5540.0,11200.0,400.0,12800.0,140.0,933.0,63.5,1470.0,8350.0,32.2,272.0,272.3,990.0,300.0,31.0,16.5,142.0,865.0,63.0,38.0,928.0,3.15,2.85,W40x183
W1000x249,1,5.77,56.2,2.44,31700.0,4810.0,9820.0,390.0,11300.0,118.0,783.0,60.9,1240.0,5820.0,26.7,249.0,248.7,980.0,300.0,26.0,16.5,142.0,865.0,58.0,38.0,928.0,3.13,2.83,W40x167
W1000x222,1,7.11,58.0,2.18,28200.0,4080.0,8410.0,380.0,9800.0,95.4,636.0,58.1,1020.0,3900.0,21.5,222.0,222.0,970.0,300.0,21.1,16.0,142.0,865.0,53.0,38.0,928.0,3.11,2.81,W40x149
W920x1377,1,2.05,11.2,13.5,175400.0,30300.0,55500.0,416.0,67600.0,2060.0,8720.0,108.0,14200.0,596000.0,493.0,1377.0,1376.7,1093.0,473.0,115.1,76.7,198.0,800.0,147.0,68.0,863.0,3.92,3.45,W36x925
W920x1269,1,2,13.5,12.4,161700.0,29000.0,53000.0,423.0,63900.0,1900.0,8240.0,108.0,13100.0,514000.0,454.0,1269.0,1269.0,1093.0,461.0,115.1,64.0,199.0,800.0,147.0,62.0,863.0,3.9,3.44,W36x853
W920x1194,1,2.1,14.3,11.7,152200.0,26900.0,49800.0,421.0,59800.0,1750.0,7660.0,107.0,12200.0,435000.0,413.0,1194.0,1194.4,1081.0,457.0,109.0,60.5,198.0,800.0,141.0,60.0,863.0,3.87,3.41,W36x802
W920x1077,1,2.28,15.7,10.6,137200.0,23800.0,44800.0,416.0,53400.0,1530.0,6770.0,106.0,10700.0,326000.0,353.0,1077.0,1076.6,1061.0,451.0,99.1,55.0,198.0,800.0,131.0,58.0,863.0,3.82,3.37,W36x723
W920x970,1,2.48,17.3,9.52,123700.0,21000.0,40300.0,412.0,47700.0,1340.0,6000.0,104.0,9490.0,243000.0,304.0,970.0,970.7,1043.0,446.0,89.9,50.0,198.0,800.0,121.0,55.0,863.0,3.77,3.32,W36x652
W920x787,1,2.96,21.1,7.71,100400.0,16500.0,32600.0,405.0,38000.0,1030.0,4730.0,102.0,7420.0,134000.0,227.0,787.0,786.6,1011.0,437.0,73.9,40.9,198.0,800.0,105.0,50.0,863.0,3.69,3.25,W36x529
W920x725,1,3.19,22.6,7.1,92400.0,14900.0,29900.0,402.0,34700.0,932.0,4290.0,100.0,6730.0,106000.0,202.0,725.0,724.5,999.0,434.0,68.1,38.1,198.0,800.0,100.0,49.0,863.0,3.66,3.22,W36x487
W920x656,1,3.48,25.0,6.43,83700.0,13400.0,27100.0,400.0,31300.0,830.0,3850.0,99.7,6020.0,79500.0,178.0,656.0,655.7,987.0,431.0,62.0,34.5,198.0,800.0,94.0,47.0,863.0,3.63,3.2,W36x441
W920x588,1,3.82,27.8,5.76,75000.0,11800.0,24200.0,397.0,27800.0,728.0,3410.0,98.6,5310.0,58100.0,154.0,588.0,587.2,975.0,427.0,55.9,31.0,198.0,800.0,87.0,46.0,863.0,3.6,3.17,W36x395
W920x537,1,4.16,30.4,5.25,68500.0,10700.0,22100.0,395.0,25300.0,656.0,3080.0,98.0,4790.0,44500.0,137.0,537.0,535.8,965.0,425.0,51.1,28.4,198.0,800.0,83.0,44.0,863.0,3.57,3.15,W36x361
W920x491,1,4.49,33.3,4.8,62600.0,9660.0,20200.0,394.0,23000.0,590.0,2800.0,97.3,4340.0,34400.0,122.0,491.0,489.3,957.0,422.0,47.0,25.9,198.0,800.0,79.0,43.0,863.0,3.55,3.13,W36x330
