Designation,Class,ba/t,h/w,Dead Load (kN/m),Area (mmý),Ix (10^6 mm?),Sx (10^3 mm?),rx (mm),Zx (10^3 mm?),Iy (10^6 mm?),Sy (10^3 mm?),ry (mm),Zy (10^3 mm?),J (10^3 mm?),Cw (10^9 mm?),Nominal Mass (kg/m),Theoretical Mass (kg/m),Depth d (mm),Flange Width b (mm),Flange Thickness t (mm),Web Thickness w (mm),Distance a (mm),Distance T (mm),Distance k (mm),Distance k? (mm),d-2t (mm),Surface Area Total (mý/m),Surface Area Minus Top Flange (mý/m),Imperial Designation
W530x101,1,6.03,46.1,0.995,12900,617,2300,219,2620,26.9,256,45.6,400,1020,1.82,100,99.6,415,260,16.9,10,125,338,39,25,381,1.85,1.59,W16x67
W530x92,1,6.7,49.2,0.907,11800,552,2070,217,2360,23.8,228,44.9,355,762,1.59,85,85,417,181,18.2,10.9,85,340,39,24,381,1.54,1.36,W16x57
W530x82,2,7.86,52.8,0.805,10500,477,1810,213,2060,20.3,194,44,303,518,1.34,74,74.9,413,180,16,9.7,85,340,37,24,381,1.53,1.35,W16x50
W530x72,3,9.5,55.8,0.706,9180,401,1530,209,1760,16.2,156,42,245,338,1.06,67,67.5,410,179,14.4,8.8,85,340,35,23,381,1.52,1.34,W16x45
W530x85,1,5.03,48.7,0.83,10800,485,1810,212,2100,12.6,152,34.2,242,737,0.849,60,59.5,407,178,12.8,7.7,85,340,33,23,381,1.51,1.33,W16x40
W530x74,1,6.1,51.7,0.733,9480,411,1550,208,1810,10.4,125,33.1,200,480,0.692,54,53.4,403,177,10.9,7.5,85,340,31,23,381,1.5,1.32,W16x36
W530x66,1,7.24,56.4,0.644,8390,351,1340,205,1560,8.57,104,32,166,320,0.565,46,46.2,403,140,11.2,7,67,344,30,21,381,1.35,1.21,W16x31
W460x464,1,2.19,11.1,4.55,59100,2900,10200,222,12400,331,2170,74.9,3400,73100,20.5,39,39.2,399,140,8.8,6.4,67,344,27,20,381,1.35,1.21,W16x26
W460x421,1,2.38,12,4.14,53700,2570,9250,219,11100,293,1940,73.9,3030,55700,17.7,1299,1299,600,476,140,100,188,257,172,80,320,2.9,2.43,W14x873
W460x384,1,2.56,13.2,3.77,49000,2290,8420,217,10000,261,1750,73.1,2730,42700,15.5,1202,1201.5,580,471,130,95,188,257,162,78,320,2.85,2.38,W14x808
W460x349,1,2.76,14.5,3.42,44400,2040,7640,214,9010,233,1570,72.3,2440,32800,13.5,1086,1087.8,569,454,125,78,188,256,157,69,319,2.8,2.34,W14x730
W460x315,1,3.02,15.9,3.08,40100,1800,6850,212,8020,204,1390,71.4,2160,24300,11.6,990,991,550,448,115,71.9,188,257,147,66,320,2.75,2.3,W14x665
W460x286,1,3.28,17.5,2.8,36400,1610,6230,210,7240,183,1260,70.9,1940,18600,10.2,900,902.1,531,442,106,65.9,188,256,138,63,319,2.7,2.26,W14x605
W460x260,1,3.58,18.9,2.55,33100,1440,5650,208,6530,163,1130,70.1,1740,14100,8.95,818,819,514,437,97,60.5,188,257,129,60,320,2.66,2.22,W14x550
W460x235,1,3.92,20.8,2.3,29900,1270,5080,206,5840,145,1010,69.5,1550,10500,7.79,744,744.2,498,432,88.9,55.6,188,257,120,58,320,2.61,2.18,W14x500
W460x213,1,4.25,23.1,2.09,27100,1140,4620,205,5270,129,909,69.1,1400,7970,6.89,677,677.8,483,428,81.5,51.2,188,257,113,56,320,2.58,2.15,W14x455
W460x193,1,4.64,25.2,1.9,24700,1020,4190,204,4750,115,816,68.5,1250,6030,6.06,634,634.3,474,424,77.1,47.6,188,257,109,54,320,2.55,2.12,W14x426
W460x177,1,5.32,25.8,1.74,22600,910,3780,201,4280,105,735,68.2,1130,4400,5.44,592,592.6,465,421,72.3,45,188,257,104,53,320,2.52,2.1,W14x398
W460x158,1,5.94,28.5,1.55,20100,796,3350,199,3770,91.4,643,67.4,989,3110,4.67,551,550.6,455,418,67.6,42,188,257,99,51,320,2.5,2.08,W14x370
W460x144,1,6.4,31.5,1.42,18400,726,3080,199,3450,83.6,591,67.4,906,2440,4.23,509,509.4,446,416,62.7,39.1,188,258,94,50,321,2.48,2.06,W14x342
W460x129,1,7.19,36.1,1.26,16300,637,2730,197,3050,73.3,520,67,796,1710,3.67,463,462.8,435,412,57.4,35.8,188,257,89,48,320,2.45,2.03,W14x311
W460x113,2,8.09,39.7,1.11,14400,556,2400,196,2670,63.3,452,66.3,691,1180,3.15,421,421.6,425,409,52.6,32.8,188,257,84,46,320,2.42,2.01,W14x283
W460x106,1,4.71,34,1.04,13400,488,2080,190,2390,25.1,259,43.2,405,1460,1.26,382,382.3,416,406,48,29.8,188,257,80,45,320,2.4,1.99,W14x257
W460x87,1,5.08,37.5,0.947,12300,445,1910,190,2180,22.8,237,43.1,388,1130,1.14,347,346.9,407,404,43.7,27.2,188,257,76,44,320,2.38,1.97,W14x233
W460x89,1,5.42,40.7,0.875,11400,409,1770,190,2010,20.9,218,42.9,339,905,1.04,314,313.3,399,401,39.6,24.9,188,257,71,42,320,2.35,1.95,W14x211
W460x82,1,5.97,43.2,0.803,10500,370,1610,188,1830,18.6,195,42.2,303,690,0.918,287,287.5,393,399,36.6,22.6,188,257,68,41,320,2.34,1.94,W14x193
W460x74,1,6.55,47.6,0.727,9480,332,1460,188,1650,16.6,175,41.9,271,516,0.813,262,262.7,387,398,33.3,21.1,188,257,65,41,320,2.32,1.93,W14x176
W460x68,1,5,47.1,0.672,8710,297,1290,184,1490,9.4,122,32.8,192,508,0.463,237,238.2,380,395,30.2,18.9,188,257,62,39,320,2.3,1.91,W14x159
W460x60,1,5.75,53.6,0.584,7610,255,1120,183,1280,7.96,104,32.4,163,334,0.388,216,216.3,375,394,27.7,17.3,188,257,59,39,320,2.29,1.9,W14x145
W460x52,1,7.04,56.4,0.51,6650,212,942,179,1090,6.34,83.4,30.9,131,209,0.306,196,196.5,372,374,26.2,16.4,179,257,58,38,320,2.21,1.83,W14x132
W410x149,1,5.3,25.6,1.46,19000,618,2870,180,3250,77.7,586,63.9,900,3210,3.2,179,179.2,368,373,23.9,15,179,257,55,38,320,2.2,1.83,W14x120
W410x132,1,5.92,28.6,1.3,16900,538,2530,179,2850,67.4,512,63.3,785,2250,2.73,162,161.9,364,371,21.8,13.3,179,257,53,37,320,2.19,1.81,W14x109
W410x114,1,6.76,32.9,1.12,14600,461,2200,178,2460,57.2,439,62.7,671,1480,2.3,147,147.5,360,370,19.8,12.3,179,257,51,36,320,2.18,1.81,W14x99
W410x100,1,7.69,38.1,0.977,12700,398,1920,177,2130,49.5,381,62.5,581,993,1.96,134,133.9,356,369,18,11.2,179,257,50,36,320,2.17,1.8,W14x90
W410x85,1,4.97,34.9,0.833,10800,315,1510,171,1720,18,199,40.8,310,924,0.717,122,121.7,363,257,21.7,13,122,276,44,27,320,1.73,1.47,W14x82
W410x74,1,5.63,39.3,0.735,9480,275,1330,170,1510,15.6,173,40.4,269,636,0.614,110,110.2,360,256,19.9,11.4,122,277,42,26,320,1.72,1.47,W14x74
W410x67,1,6.22,43.3,0.662,8580,245,1200,169,1360,13.8,154,40.1,239,468,0.54,101,101.2,357,255,18.3,10.5,122,277,40,26,320,1.71,1.46,W14x68
W410x60,1,6.95,49.5,0.583,7610,216,1060,169,1190,12,135,39.9,209,327,0.468,91,90.8,353,254,16.4,9.5,122,277,38,25,320,1.7,1.45,W14x61
W410x54,2,8.12,50.8,0.524,6840,186,923,165,1050,10.1,114,38.5,177,225,0.388,79,79.2,354,205,16.8,9.4,98,277,39,25,320,1.51,1.3,W14x53
W410x46,1,6.25,54.4,0.453,5880,156,772,163,884,5.14,73.4,29.5,115,192,0.197,72,71.5,350,204,15.1,8.6,98,276,37,25,320,1.5,1.29,W14x48
W410x39,2,7.95,59.6,0.384,4950,126,634,159,730,4.04,57.6,28.4,90.6,110,0.154,64,63.9,347,203,13.5,7.7,98,276,35,24,320,1.49,1.29,W14x43
W360x1299,1,1.7,3.2,12.7,165000,7550,25200,214,33200,2540,10700,124,16700,944000,135,1299,1299,600,476,140,100,188,257,172,80,320,2.9,2.43,W14x873
W360x1202,1,1.81,3.37,11.8,153000,6640,22900,208,30000,2290,9710,122,15200,762000,116,1202,1201.5,580,471,130,95,188,257,162,78,320,2.85,2.38,W14x808
W360x1086,1,1.82,4.09,10.7,139000,5960,20900,207,27200,1960,8650,119,13400,605000,96.7,1086,1087.8,569,454,125,78,188,256,157,69,319,2.8,2.34,W14x730
W360x990,1,1.95,4.45,9.72,125000,5190,18900,203,24300,1730,7740,117,12000,469000,82,990,991,550,448,115,71.9,188,257,147,66,320,2.75,2.3,W14x665
W360x900,1,2.06,4.84,8.85,115000,4500,17000,198,21600,1530,6940,116,10700,364000,69.2,900,902.1,531,442,106,65.9,188,256,138,63,319,2.7,2.26,W14x605
W360x818,1,2.25,5.29,8.03,105000,3670,15300,194,19300,1360,5200,114,9560,278000,56.9,818,819,514,437,97,60.5,188,257,129,60,320,2.66,2.22,W14x550
W360x744,1,2.43,5.76,7.3,94800,3420,13700,190,17200,1020,6550,112,8550,214000,50.2,744,744.2,498,432,88.9,55.6,188,257,120,58,320,2.61,2.18,W14x500
W360x677,1,2.63,6.25,6.65,86500,2990,12400,185,15300,1070,4990,111,7680,184000,43.1,677,677.8,483,428,81.5,51.2,188,257,113,56,320,2.58,2.15,W14x455
W360x634,1,2.75,6.72,6.22,80800,2740,11600,184,14200,983,4630,110,7120,138000,38.7,634,634.3,474,424,77.1,47.6,188,257,109,54,320,2.55,2.12,W14x426
W360x592,1,2.91,7.12,5.81,75500,2500,10800,182,13100,902,4280,109,6570,114000,34.8,592,592.6,465,421,72.3,45,188,257,104,53,320,2.52,2.1,W14x398
W360x551,1,3.09,7.61,5.4,70300,2260,9940,180,12100,825,3950,108,6050,92500,31,551,550.6,455,418,67.6,42,188,257,99,51,320,2.5,2.08,W14x370
W360x509,1,3.32,8.2,5,65200,2050,9170,178,11000,754,3630,108,5550,73900,27.7,509,509.4,446,416,62.7,39.1,188,258,94,50,321,2.48,2.06,W14x342
W360x463,1,3.59,8.94,4.54,59000,1800,8280,175,9880,670,3250,107,4980,56500,23.9,463,462.8,435,412,57.4,35.8,188,257,89,48,320,2.45,2.03,W14x311
W360x421,1,3.89,9.75,4.13,53700,1600,7510,172,8880,601,2940,106,4490,43400,20.8,421,421.6,425,409,52.6,32.8,188,257,84,46,320,2.42,2.01,W14x283
W360x382,1,4.23,10.7,3.75,48800,1410,6790,170,7980,536,2640,105,4030,32800,18.2,382,382.3,416,406,48,29.8,188,257,80,45,320,2.4,1.99,W14x257
W360x347,1,4.62,11.8,3.4,44200,1250,6140,168,7140,481,2380,104,3630,24800,15.9,347,346.9,407,404,43.7,27.2,188,257,75,44,320,2.38,1.97,W14x233
W360x314,1,5.06,12.8,3.07,40000,1100,5530,166,6370,426,2120,103,3240,18500,13.8,314,313.3,399,401,39.6,24.9,188,257,71,42,320,2.35,1.95,W14x211
W360x287,1,5.48,14.2,2.82,36600,997,5070,165,5810,388,1940,103,2960,14500,12.3,287,287.5,393,399,36.6,22.6,188,257,68,41,320,2.34,1.94,W14x193
W360x262,1,5.98,15.2,2.58,33400,894,4620,163,5260,350,1760,102,2680,11000,11,262,262.7,387,398,33.3,21.1,188,257,65,41,320,2.32,1.93,W14x176
W360x237,1,6.54,16.9,2.32,30100,788,4150,162,4690,310,1570,102,2390,8180,9.5,237,236.2,380,395,30.2,18.9,188,257,62,39,320,2.3,1.91,W14x159
W360x216,1,7.11,18.5,2.12,27500,711,3790,161,4260,283,1430,101,2180,6320,8.52,216,216.3,375,394,27.7,17.3,188,257,59,39,320,2.29,1.9,W14x145
W360x196,1,7.14,19.5,1.93,25000,636,3420,159,3840,229,1220,95.6,1860,5130,6.83,196,196.5,372,374,26.2,16.4,179,257,58,38,320,2.21,1.83,W14x132
W360x179,1,7.8,21.3,1.76,22800,574,3120,159,3480,207,1110,95.2,1860,3910,6.12,179,179.2,368,373,23.9,15,179,257,55,38,320,2.2,1.83,W14x120
W360x162,2,8.51,24.1,1.59,20600,515,2830,158,3140,186,1000,94.9,1520,2940,5.43,162,161.9,364,371,21.8,13.3,179,257,53,37,320,2.19,1.81,W14x109
W360x147,3,9.34,26,1.45,18800,463,2570,157,2840,167,904,94.3,1370,2230,4.84,147,147.5,360,370,19.8,12.3,179,257,51,36,320,2.18,1.81,W14x99
W360x134,3,10.3,28.6,1.31,17100,415,2330,156,2560,151,817,94,1240,1680,4.31,134,133.9,356,369,18,11.2,179,257,50,36,320,2.17,1.8,W14x90
W360x122,1,5.92,24.6,1.19,15500,365,2010,154,2270,61.5,478,63,732,2110,1.79,122,121.7,363,257,21.7,13,122,276,44,27,320,1.73,1.47,W14x82
W360x110,1,6.43,28.1,1.08,14100,331,1840,154,2060,55.7,435,63,664,1600,1.61,110,110.2,360,256,19.9,11.4,122,277,42,26,320,1.72,1.47,W14x74
W360x101,1,6.97,30.5,0.992,12900,301,1690,153,1880,50.6,397,62.7,605,1250,1.45,101,101.2,357,255,18.3,10.5,122,277,40,26,320,1.71,1.46,W14x68
W360x91,1,7.74,33.7,0.89,11500,267,1510,152,1680,44.8,353,62.3,538,914,1.27,91,90.8,353,254,16.4,9.5,122,277,38,25,320,1.7,1.45,W14x61
W360x79,1,6.1,34.1,0.777,10100,226,1280,150,1430,24.2,236,48.9,362,811,0.687,79,79.2,354,205,16.8,9.4,98,277,39,25,320,1.51,1.3,W14x53
W360x72,1,6.75,37.2,0.701,9100,201,1150,149,1280,21.4,210,48.5,322,601,0.6,72,71.5,350,204,15.1,8.6,98,276,37,25,320,1.5,1.29,W14x48
W360x64,1,7.52,41.6,0.626,8130,178,1030,148,1140,18.8,186,48.1,284,436,0.524,64,63.9,347,203,13.5,7.7,98,276,35,24,320,1.49,1.29,W14x43
W360x57,1,6.56,42,0.555,7230,160,896,149,1010,11.1,129,39.3,199,333,0.331,57,56.6,358,172,13.1,7.9,82,295,31,21,332,1.39,1.22,W14x38
W360x51,1,7.37,46.1,0.496,6450,141,796,148,893,9.68,113,38.8,174,237,0.285,51,50.6,355,171,11.6,7.2,82,295,30,20,332,1.38,1.21,W14x34
W360x45,2,8.72,48.2,0.441,5710,122,691,146,778,8.18,95.7,37.8,148,159,0.239,45,45,352,171,9.8,6.9,82,296,28,20,332,1.37,1.2,W14x30
W360x39,1,5.98,51,0.383,4960,102,580,143,662,3.75,58.6,27.4,91.6,150,0.11,39,39.1,353,128,10.7,6.5,61,295,29,20,332,1.21,1.08,W14x26
W360x33,1,7.47,57.2,0.321,4190,82.6,473,141,541,2.91,45.8,26.4,71.8,85.3,0.0843,33,32.7,349,127,8.5,5.8,61,296,27,20,332,1.19,1.07,W14x22
W310x500,1,2.26,6.14,4.91,63700,1690,7910,163,9880,494,2910,88,4490,101000,15.3,500,500.4,427,340,75.1,45.1,147,233,97,43,277,2.12,1.78,W12x336
W310x454,1,2.45,6.72,4.45,57800,1480,7130,160,8820,436,2600,86.8,4000,77200,13.1,454,454,415,336,68.7,41.3,147,234,91,41,278,2.09,1.76,W12x305
W310x415,1,2.66,7.14,4.07,52800,1300,6450,157,7900,391,2340,86,3610,59500,11.3,415,415.1,403,334,62.7,38.9,148,234,85,40,278,2.06,1.73,W12x279
W310x375,1,2.88,7.81,3.68,47800,1130,5770,154,7000,344,2080,84.8,3210,44900,9.57,375,374.8,391,330,57.2,35.4,147,233,79,38,277,2.03,1.7,W12x252
W310x342,1,3.12,8.49,3.37,43700,1010,5260,152,6330,310,1890,84.2,2910,34900,8.42,342,343.2,382,328,52.6,32.6,148,233,74,37,277,2.01,1.68,W12x230
W310x313,1,3.36,9.25,3.07,39900,896,4790,150,5720,277,1700,83.3,2620,27000,7.35,313,313.3,374,325,48.3,30,148,234,70,35,277,1.99,1.66,W12x210
W310x283,1,3.65,10.3,2.77,36000,787,4310,148,5100,246,1530,82.6,2340,20300,6.33,283,282.9,365,322,44.1,26.9,148,233,66,34,277,1.96,1.64,W12x190
W310x253,1,4.03,11.3,2.48,32300,682,3830,146,4490,215,1350,81.6,2060,14800,5.37,253,252.9,356,319,39.6,24.4,147,233,61,33,277,1.94,1.62,W12x170
W310x226,1,4.45,12.5,2.22,28800,596,3420,144,3970,189,1190,81,1830,10800,4.62,226,226.7,348,317,35.6,22.1,147,233,57,31,277,1.92,1.6,W12x152
W310x202,1,4.95,13.8,1.99,25700,520,3050,142,3510,166,1050,80.2,1610,7730,3.96,202,202.6,341,315,31.8,20.1,147,234,54,30,277,1.9,1.59,W12x136
W310x179,1,5.57,15.4,1.75,22800,445,2670,140,3050,144,919,79.5,1400,5370,3.34,179,178.7,333,313,28.1,18,148,233,50,29,277,1.88,1.57,W12x120
W310x158,1,6.18,17.9,1.54,20100,386,2860,139,2670,125,805,78.9,1220,3770,2.84,158,157.4,327,310,25.1,15.5,147,233,47,28,277,1.86,1.55,W12x106
W310x143,1,6.75,19.8,1.4,18200,348,2150,138,2420,113,729,78.6,1110,2860,2.54,143,143.1,323,309,22.9,14,148,234,45,27,277,1.85,1.55,W12x96
W310x129,1,7.48,21.1,1.27,16500,308,1940,137,2160,100,652,78,991,2130,2.22,129,129.6,318,308,20.6,13.1,147,233,42,27,277,1.84,1.53,W12x87
W310x118,2,8.21,23.2,1.15,15000,275,1750,136,1950,90.2,588,77.6,893,1600,1.97,118,117.5,314,307,18.7,11.9,148,233,41,26,277,1.83,1.53,W12x79
W310x107,2,9,25.4,1.05,13600,248,1590,135,1760,81.2,531,77.2,806,1210,1.76,107,106.9,311,306,17,10.9,148,233,39,26,277,1.82,1.52,W12x72
W310x97,3,9.9,28,0.949,12300,222,1440,134,1590,72.9,478,76.9,725,909,1.56,97,96.8,308,305,15.4,9.9,148,234,37,25,277,1.82,1.51,W12x65
W310x86,1,7.79,30.5,0.847,11000,198,1280,134,1420,44.5,351,63.6,533,874,0.961,86,86.3,310,254,16.3,9.1,122,234,38,25,277,1.62,1.36,W12x58
W310x79,2,8.7,31.5,0.773,10100,177,1150,133,1280,39.9,314,63,478,655,0.847,79,78.9,306,254,14.6,8.8,123,234,36,24,277,1.61,1.36,W12x53
W310x74,1,6.29,29.5,0.726,9480,164,1060,132,1180,23.4,229,49.9,350,718,0.505,74,74,310,205,16.3,9.4,98,234,38,25,277,1.42,1.22,W12x50
W310x67,1,6.99,32.6,0.65,8520,144,942,131,1050,20.7,203,49.5,310,522,0.439,67,66.3,306,204,14.6,8.5,98,234,36,24,277,1.41,1.21,W12x45
W310x60,1,7.75,36.9,0.58,7610,128,842,130,933,18.3,180,49.3,275,378,0.384,60,59.1,303,203,13.1,7.5,98,234,35,24,277,1.4,1.2,W12x40
W310x52,1,6.33,38.2,0.513,6650,118,747,133,837,10.3,123,39.2,189,308,0.237,52,52.3,317,167,13.2,7.6,80,256,31,20,291,1.29,1.12,W12x35
W310x45,1,7.41,44,0.438,5670,99.2,634,132,708,8.55,103,38.8,158,191,0.195,45,44.6,313,166,11.2,6.6,80,256,29,19,291,1.28,1.11,W12x30
W310x39,2,8.51,50.1,0.38,4940,85.1,549,131,610,7.27,88.1,38.4,135,126,0.164,39,38.7,310,165,9.7,5.8,80,256,27,19,291,1.27,1.1,W12x26
W310x33,1,4.72,44.2,0.321,4180,65,415,125,480,1.92,37.6,21.4,59.6,122,0.0438,33,32.8,313,102,10.8,6.6,48,264,24,15,291,1.02,0.919,W12x22
W310x28,1,5.73,48.5,0.278,3590,54.3,351,123,407,1.58,31,20.9,49.2,75.7,0.0356,28,28.4,309,102,8.9,6,48,264,22,15,291,1.01,0.912,W12x19
W310x24,1,7.54,52.1,0.234,3040,42.7,280,119,328,1.16,22.9,19.5,36.7,42.5,0.0257,24,23.8,305,101,6.7,5.6,48,265,20,15,292,1,0.902,W12x16
W310x21,2,8.86,57.2,0.207,2680,37,244,117,287,0.983,19.5,19.1,31.2,29.4,0.0217,21,21.1,303,101,5.7,5.1,48,265,19,15,292,1,0.899,W12x14
W250x167,1,4.17,11.7,1.64,21200,300,2080,119,2430,98.8,746,68.1,1140,6310,1.63,167,167.4,289,265,31.8,19.2,123,184,52,29,225,1.6,1.33,W10x112
W250x149,1,4.63,13,1.46,19000,259,1840,117,2130,86.2,656,67.4,1000,4510,1.39,149,148.9,282,263,28.4,17.3,123,184,49,28,225,1.58,1.32,W10x100
W250x131,1,5.2,14.6,1.29,16700,221,1610,115,1850,74.5,571,66.8,870,3120,1.16,131,131.1,275,261,25.1,15.4,123,184,46,27,225,1.56,1.3,W10x88
W250x115,1,5.86,16.7,1.13,14600,189,1410,114,1600,64.1,495,66.2,753,2130,0.976,115,114.8,269,259,22.1,13.5,123,184,43,26,225,1.55,1.29,W10x77
W250x101,1,6.56,18.9,0.992,12900,164,1240,113,1400,55.5,432,65.6,656,1490,0.829,101,101.2,264,257,19.6,11.9,123,184,40,25,225,1.53,1.28,W10x68
W250x89,1,7.4,21.1,0.878,11400,143,1100,112,1230,48.4,378,65.1,574,1040,0.713,89,89.6,260,256,17.3,10.7,123,184,38,24,225,1.52,1.27,W10x60
W250x80,2,8.17,23.9,0.786,10200,126,982,111,1090,43.1,338,65,513,757,0.623,80,80.1,256,255,15.6,9.4,123,184,36,24,225,1.51,1.26,W10x54
W250x73,2,8.94,26.1,0.715,9290,113,891,110,985,38.8,306,64.6,463,575,0.553,73,72.9,253,254,14.2,8.6,123,184,35,23,225,1.5,1.25,W10x49
W250x67,1,6.5,25.3,0.658,8580,104,806,110,901,22.2,218,51,332,625,0.324,67,67.1,257,204,15.7,8.9,98,185,36,23,226,1.31,1.11,W10x45
W250x58,1,7.52,28.1,0.571,7420,87.3,693,108,770,18.8,186,50.4,283,409,0.268,58,58.2,252,203,13.5,8,98,184,34,23,225,1.3,1.1,W10x39
W250x49,3,9.18,30.4,0.481,6260,70.6,572,106,633,15.1,150,49.2,228,241,0.211,49,49,247,202,11,7.4,97,184,32,23,225,1.29,1.09,W10x33
W250x45,1,5.69,31.6,0.44,5700,71.1,534,111,602,7.03,95.1,35.1,146,261,0.113,45,44.9,266,148,13,7.6,70,209,29,18,240,1.11,0.961,W10x30
W250x39,1,6.56,36.3,0.379,4910,60.1,459,110,513,5.94,80.8,34.7,124,169,0.0934,39,38.7,262,147,11.2,6.6,70,209,27,17,240,1.1,0.952,W10x26
W250x33,2,8.02,39.3,0.321,4190,48.9,379,108,424,4.73,54.7,33.7,99.5,98.5,0.0732,33,32.7,258,146,9.1,6.1,70,211,24,16,240,1.09,0.942,W10x22
W250x28,1,5.1,37.5,0.279,3630,40,307,105,353,1.78,34.8,22.1,54.7,96.7,0.0277,28,28.5,260,102,10,6.4,48,213,24,15,240,0.915,0.813,W10x19
W250x25,1,6.07,39.4,0.249,3220,34.2,266,103,307,1.49,29.2,21.5,46.2,65.2,0.023,25,25.3,257,102,8.4,6.1,48,213,22,15,240,0.91,0.808,W10x17
W250x22,1,7.39,41.4,0.219,2850,28.9,227,101,263,1.23,24,20.7,38.1,43.4,0.0187,22,22.4,254,102,6.9,5.8,48,213,20,15,240,0.904,0.802,W10x15
W200x100,1,4.43,12.5,0.175,2280,22.4,179,99.3,207,0.913,18.1,20,28.6,22.4,0.0138,18,17.9,251,101,5.3,4.8,48,213,19,14,240,0.896,0.795,W10x12
W200x86,1,5.07,13.9,0.976,12700,113,989,94.5,1150,36.6,349,53.8,533,2090,0.386,100,99.5,229,210,23.7,14.5,98,148,40,22,182,1.27,1.06,W8x67
W200x71,1,5.92,17.8,0.85,11000,94.7,853,92.6,981,31.4,300,53.3,458,1390,0.318,86,86.7,222,209,20.6,13,98,147,37,22,181,1.25,1.04,W8x58
W200x59,1,7.22,20,0.701,9100,76.6,709,91.7,803,25.4,246,52.8,375,817,0.25,71,71.5,216,206,17.4,10.2,98,148,34,20,181,1.24,1.03,W8x48
W200x52,2,8.1,22.9,0.582,7550,61.1,582,89.9,653,20.4,199,52,303,463,0.196,59,59.3,210,205,14.2,9.1,98,148,31,20,182,1.22,1.02,W8x40
W200x46,3,9.23,25.1,0.512,6650,52.7,512,89,569,17.8,175,51.8,266,323,0.167,52,52.2,206,204,12.6,7.9,98,147,29,19,181,1.21,1.01,W8x35
W200x42,1,7.03,25.2,0.451,5890,45.4,448,88.1,495,15.3,151,51.2,229,220,0.141,46,46,203,203,11,7.2,98,148,28,19,181,1.2,1,W8x31
W200x36,2,8.09,29.1,0.409,5320,40.9,399,87.7,445,9,108,41.2,165,222,0.084,42,41.7,205,166,11.8,7.2,79,152,26,17,181,1.06,0.894,W8x28
W200x31,1,6.57,29.6,0.352,4570,34.4,342,86.7,379,7.64,92.6,40.9,141,145,0.0696,36,35.9,201,165,10.2,6.2,79,152,25,16,181,1.05,0.885,W8x24
W200x27,2,7.92,32.8,0.308,3970,31.4,299,88.6,335,4.1,61.1,32,93.8,119,0.0409,31,31.4,210,134,10.2,6.4,64,166,22,14,190,0.943,0.809,W8x21
W200x22,1,6.38,30.6,0.261,3390,25.8,249,87.3,279,3.3,49.6,31.2,76.1,71.3,0.0325,27,26.6,207,133,8.4,5.8,64,167,20,13,190,0.934,0.801,W8x18
W200x19,2,7.85,32.8,0.22,2860,20,194,83.6,222,1.42,27.8,22.3,43.7,56.6,0.0139,22,22.4,206,102,8,6.2,48,166,20,13,190,0.808,0.706,W8x15
W200x15,3,9.62,44.1,0.191,2480,16.6,163,81.7,187,1.15,22.6,21.6,35.6,36.2,0.0111,19,19.4,203,102,6.5,5.8,48,165,19,14,190,0.802,0.7,W8x13
W150x37,1,6.64,17.1,0.147,1910,12.7,127,81.8,145,0.869,17.4,21.4,27.1,17.6,0.00824,15,15,200,100,5.2,4.3,48,165,18,13,190,0.791,0.691,W8x10
W150x30,2,8.23,21,0.364,4740,22.2,274,68.5,310,7.07,91.8,38.7,140,192,0.04,37,37.1,162,154,11.6,8.1,73,114,24,15,139,0.924,0.77,W6x25
W150x22,4,11.5,23.9,0.292,3790,17.1,218,67.3,244,5.56,72.6,38.3,111,100,0.0303,30,29.8,157,153,9.3,6.6,73,113,22,14,138,0.913,0.76,W6x20
W150x24,1,4.95,21.1,0.219,2860,12,159,65.1,176,3.87,50.9,36.9,77.5,41.5,0.0204,22,22.3,152,152,6.6,5.8,73,114,19,14,139,0.9,0.748,W6x15
W150x18,1,7.18,23.9,0.235,3060,13.4,168,66.3,191,1.83,35.8,24.5,55.2,92.3,0.0102,24,24,160,102,10.3,6.6,48,116,22,14,139,0.715,0.613,W6x16
W150x14,2,9.09,32.3,0.176,2290,9.15,120,63.3,136,1.26,24.7,23.5,38.2,36.9,0.0067,18,17.9,153,102,7.1,5.8,48,115,19,13,139,0.702,0.6,W6x12
W150x13,3,10.2,32.1,0.133,1730,6.85,91.3,63,102,0.918,18.4,23,28.3,16.8,0.00479,14,13.6,150,100,5.5,4.3,48,115,17,12,139,0.691,0.591,W6x9
W130x28,1,5.87,15.8,0.124,1630,6.13,82.8,61.7,93,0.818,16.4,22.5,25.3,13.6,0.00419,13,12.6,148,100,4.9,4.3,48,115,17,12,138,0.687,0.587,W6x8.5
W130x24,1,6.98,17.8,0.275,3590,10.9,167,55.3,190,3.81,59.6,32.7,90.7,127,0.0138,28,28.1,131,128,10.9,6.9,61,86,23,14,109,0.76,0.632,W5x19
W100x19,1,5.85,12.5,0.231,3040,8.79,138,54.1,156,3.11,49,32.2,74.5,76.2,0.0108,24,23.6,127,127,9.1,6.1,60,85,21,13,109,0.75,0.623,W5x16
,,,,0.19,2470,4.76,89.8,43.9,103,1.61,31.2,25.5,47.9,62.9,0.00379,19,19.4,106,103,8.8,7.1,48,65,21,21,88,0.61,0.507,W4x13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
