Designation,Class,ba/t,h/w,Dead Load (kN/m),Area (mmý),Ix (10^6 mm?),Sx (10^3 mm?),rx (mm),Zx (10^3 mm?),Iy (10^6 mm?),Sy (10^3 mm?),ry (mm),Zy (10^3 mm?),J (10^3 mm?),Cw (10^9 mm?),Nominal Mass (kg/m),Theoretical Mass (kg/m),Depth d (mm),Flange Width b (mm),Flange Thickness t (mm),Web Thickness w (mm),Distance a (mm),Distance T (mm),Distance k (mm),Distance k? (mm),d-2t (mm),Surface Area Total (mý/m),Surface Area Minus Top Flange (mý/m),Imperial Designation
W920x1077,1,2.28,15.7,10.6,137200,23800,44800,416,53400,1530,6770,106,10700,326000,353,1077,1076.6,1061,451,99.1,55,198,800,131,58,863,3.82,3.37,W36x723
W920x970,1,2.48,17.3,9.52,123700,21000,40300,412,47700,1340,6000,104,9490,243000,304,970,970.7,1043,446,89.9,50,198,800,121,55,863,3.77,3.32,W36x652
W920x787,1,2.96,21.1,7.71,100400,16500,32600,405,38000,1030,4730,102,7420,134000,227,787,786.6,1011,437,73.9,40.9,198,800,105,50,863,3.69,3.25,W36x529
W920x725,1,3.19,22.6,7.1,92400,14900,29900,402,34700,932,4290,100,6730,106000,202,725,724.5,999,434,68.1,38.1,198,800,100,49,863,3.66,3.22,W36x487
W920x656,1,3.48,25,6.43,83700,13400,27100,400,31300,830,3850,99.7,6020,79500,178,656,655.7,987,431,62,34.5,198,800,94,47,863,3.63,3.2,W36x441
W920x588,1,3.82,27.8,5.76,75000,11800,24200,397,27800,728,3410,98.6,5310,58100,154,588,587.2,975,427,55.9,31,198,800,87,46,863,3.6,3.17,W36x395
W920x537,1,4.16,30.4,5.25,68500,10700,22100,395,25300,656,3080,98,4790,44500,137,537,535.8,965,425,51.1,28.4,198,800,83,44,863,3.57,3.15,W36x361
W920x491,1,4.49,33.3,4.8,62600,9660,20200,394,23000,590,2800,97.3,4340,34400,122,491,489.3,957,422,47,25.9,198,800,79,43,863,3.55,3.13,W36x330
W920x449,1,4.95,35.9,4.4,57600,8750,18500,391,20900,540,2550,97.2,3950,26300,111,449,448.5,948,423,42.7,24,200,800,74,42,863,3.54,3.12,W36x302
W920x420,1,5.29,38.4,4.11,53500,8130,17300,390,19500,501,2370,96.8,3670,21500,102,420,419.2,943,422,39.9,22.5,200,800,71,41,863,3.53,3.11,W36x282
