Designation,Dead Load kN/m,Area mm²,Ix 10? mm?,Sx 10³ mm³,rx mm,Zx 10³ mm³,Iy 10? mm?,Sy 10³ mm³,ry mm,Zy 10³ mm³,J 10³ mm?,Cw 10? mm?,Nominal Mass kg/m,Theoretical Mass kg/m,Depth d mm,Flange Width b mm,Flange Thickness t mm,Web Thickness w mm,a mm,T mm,k mm,k1 mm,d-2t mm,Surface Area Total m²/m,Surface Area Minus Top Flange m²/m,Imperial Designation
W690x500,4.91,63700,6060,15900,308,18500,48.7,2640,87.4,4110,54600,60300,500,500.5,762,369,57.9,32,169,583,89,46,646,2.94,2.57,W27x336
W690x457,4.49,58200,5470,14500,306,16800,43.9,2390,86.7,3720,42300,53600,457,458.2,752,367,53.1,29.5,169,583,85,45,646,2.91,2.55,W27x307
W690x419,4.11,53300,4950,13300,305,15300,39.5,2170,86,3370,33000,47700,419,419.1,744,364,49,26.9,169,583,81,43,646,2.89,2.53,W27x281
W690x384,3.77,48900,4490,12200,303,14000,35.7,1970,85.3,3050,25700,42600,384,384.7,736,362,45,24.9,169,583,77,42,646,2.87,2.51,W27x258
W690x350,3.44,44600,4030,11100,300,12600,31.9,1770,84.4,2740,19500,37600,350,351,728,360,40.9,23.1,168,583,72,42,646,2.85,2.49,W27x235
W690x323,3.18,41100,3710,10300,300,11700,29.4,1640,84.4,2530,15700,34400,323,324.4,722,359,38.1,21.1,169,583,70,41,646,2.84,2.48,W27x217
W690x289,2.83,36800,3260,9140,298,10300,25.6,1440,83.4,2220,11200,29600,289,289.1,714,356,34,19,169,583,66,40,646,2.81,2.46,W27x194
W690x265,2.61,33700,2920,8270,294,9330,23.1,1290,82.7,1990,8340,26400,265,265.7,706,358,30.2,18.4,170,583,62,39,646,2.81,2.45,W27x178
W690x240,2.36,30600,2630,7490,296,8430,20.6,1160,82,1790,6270,23400,240,241.1,701,356,27.4,16.8,170,583,59,38,646,2.79,2.44,W27x161
W690x217,2.15,27700,2360,6790,291,7610,18.5,1040,81.5,1610,4720,20800,217,218.9,695,355,24.8,15.4,170,582,56,38,645,2.78,2.42,W27x146
W690x192,1.88,24400,1980,5640,285,6460,7.64,602,56,941,4610,8680,192,191.4,702,254,27.9,15.5,119,583,59,38,646,2.39,2.14,W27x129
W690x170,1.67,21600,1700,4900,280,5620,6.62,517,55.3,809,3040,7410,170,169.9,693,256,23.6,14.5,121,583,55,37,646,2.38,2.13,W27x114
W690x152,1.49,19400,1510,4380,279,5000,5.78,455,54.6,710,2200,6420,152,152.1,688,254,21.1,13.1,120,583,53,37,646,2.37,2.11,W27x102
W690x140,1.37,17900,1360,3980,276,4550,5.17,407,53.9,636,1670,5720,140,139.8,684,254,18.9,12.4,121,583,50,36,646,2.36,2.11,W27x94
W690x125,1.23,16000,1180,3500,272,4010,4.41,349,52.5,546,1170,4830,125,125.5,678,253,16.3,11.7,121,582,48,36,645,2.34,2.09,W27x84
W610x551,5.4,70200,5570,15700,282,18600,48.4,2790,83,4950,83800,49900,551,551.1,711,347,69.1,38.6,154,510,101,49,573,2.73,2.39,W24x370
W610x498,4.89,63500,4950,14200,279,16700,42.6,2480,81.9,4380,63200,43100,498,498.2,699,343,63,35.1,154,510,95,48,573,2.7,2.36,W24x335
W610x455,4.45,57900,4440,12900,277,15100,38.1,2240,81.1,3980,48800,37900,455,454.1,689,340,57.9,32,154,510,89,46,573,2.67,2.33,W24x306
W610x415,4.07,52900,4000,11800,275,13700,34.3,2030,80.5,3660,37700,33600,415,415.5,679,338,53.1,29.5,154,510,85,45,573,2.65,2.31,W24x279
W610x372,3.65,47400,3530,10600,273,12200,30.2,1800,79.8,3280,27700,29100,372,372.3,669,335,48,26.4,154,510,80,43,573,2.63,2.29,W24x250
W610x341,3.34,43400,3180,9630,271,11100,27.1,1630,79,3010,21300,25800,341,340.4,661,333,43.9,24.4,154,510,75,42,573,2.61,2.27,W24x229
W610x307,3.01,39100,2840,8690,269,9930,24,1450,78.2,2680,15900,22500,307,307.3,653,330,39.9,22.1,154,510,71,41,573,2.58,2.25,W24x207
W610x285,2.8,36100,2610,8060,268,9170,22.1,1340,77.9,2440,12800,20500,285,285.3,647,329,37.1,20.6,154,510,69,40,573,2.57,2.24,W24x192
W610x262,2.56,33300,2360,7360,266,8350,19.8,1210,77.2,2240,9900,18300,262,261.1,641,327,34,19,154,510,66,40,573,2.55,2.23,W24x176
W610x241,2.37,30800,2150,6780,264,7670,18.4,1120,77.4,2070,7700,16800,241,241.7,635,329,31,17.9,156,510,63,39,573,2.55,2.22,W24x162
W610x217,2.14,27700,1910,6070,262,6850,16.3,995,76.7,1870,5600,14700,217,217.9,628,328,27.7,16.6,156,510,59,38,573,2.54,2.21,W24x146
W610x195,1.92,24800,1680,5400,260,6070,14.2,871,75.6,1580,3970,12700,195,195.6,622,327,24.4,15.4,156,510,56,38,573,2.52,2.19,W24x131
W610x174,1.71,22200,1470,4780,257,5360,12.4,761,74.7,1370,2800,10900,174,174.3,616,325,21.6,14,156,510,53,37,573,2.5,2.18,W24x117
W610x155,1.52,19700,1290,4220,256,4730,10.8,666,73.9,1190,1950,9450,155,154.9,611,324,19,12.7,156,510,51,36,573,2.49,2.17,W24x104
W610x153,1.51,19600,1250,4020,253,4600,5,437,50.5,682,2950,4470,153.8,153.6,623,229,24.9,14,108,510,56,37,573,2.13,1.91,W24x103
W610x140,1.37,17900,1120,3630,250,4150,4.51,392,50.3,613,2180,3990,140,140.1,617,230,22.2,13.1,108,510,54,37,573,2.13,1.9,W24x94
W610x125,1.23,15900,985,3220,249,3670,3.93,343,49.7,535,1540,3450,125,125.1,612,229,19.6,11.9,109,510,51,36,573,2.12,1.89,W24x84
W610x113,1.11,14500,875,2880,246,3290,3.43,300,48.7,469,1120,2990,113,113.4,608,228,17.3,11.2,108,510,49,36,573,2.11,1.88,W24x76
W610x101,0.997,13000,764,2530,243,2900,2.99,259,47.7,404,781,2550,101,101.7,603,228,14.9,10.5,109,510,46,35,573,2.1,1.87,W24x68
W610x92,0.905,11700,646,2140,234,2510,1.44,161,35,258,710,1250,92,92.3,603,179,15,10.9,84,528,38,26,573,1.9,1.72,W24x62
W610x82,0.803,10500,560,1870,232,2200,1.21,136,34,218,488,1040,82,81.9,599,178,12.8,10,84,528,35,26,573,1.89,1.71,W24x55
W530x409,4.01,52200,3170,10300,247,12100,32.5,1990,79.1,3100,41300,25300,409,408.6,613,327,55.6,31,148,439,87,46,502,2.47,2.15,W21x275
W530x369,3.61,47000,2810,9310,245,10800,28.7,1770,78.3,2750,30800,21900,369,367.9,603,324,50.5,27.9,148,439,82,44,502,2.45,2.12,W21x248
W530x332,3.25,42300,2480,8350,242,9660,25.4,1580,77.6,2440,22600,19000,332,331.2,593,322,45.5,25.4,148,439,77,43,502,2.42,2.1,W21x223
W530x300,2.94,38200,2210,7550,241,8670,22.5,1410,76.7,2180,17000,16600,300,299.5,585,319,41.4,23.1,148,439,73,42,502,2.4,2.08,W21x201
W530x272,2.66,34600,1970,6820,239,7790,20,1260,76.1,1950,12800,14600,272,271.3,577,317,37.6,21.1,148,439,69,41,502,2.38,2.06,W21x182
W530x248,2.42,31500,1770,6220,238,7060,18,1140,75.7,1760,9770,13000,248,246.6,571,315,34.5,19,148,439,66,40,502,2.36,2.05,W21x166
W530x219,2.15,27900,1510,5390,233,6110,15.7,986,75,1520,6420,11000,219,218.9,560,318,29.2,18.3,150,439,61,39,502,2.36,2.04,W21x147
W530x196,1.93,25000,1340,4840,231,5460,13.9,877,74.4,1350,4700,9640,196,196.5,554,316,26.3,16.5,150,438,58,38,501,2.34,2.02,W21x132
