Designation,Dead Load kN/m,Area mm²,Ix 10? mm?,Sx 10³ mm³,rx mm,Zx 10³ mm³,Iy 10? mm?,Sy 10³ mm³,ry mm,Zy 10³ mm³,J 10³ mm?,Cw 10? mm?,Nominal Mass kg/m,Theoretical Mass kg/m,Depth d mm,Flange Width b mm,Flange Thickness t mm,Web Thickness w mm,a mm,T mm,k mm,k1 mm,d-2t mm,Surface Area Total m²/m,Surface Area Minus Top Flange m²/m,Imperial Designation
W360x134,1.31,17100,421,2330,157,2560,172,817,101,1240,1680,4310,134,133.9,356,369,18,11.2,179,257,50,38,320,2.17,1.8,W14x90
W360x122,1.19,15500,365,2010,153,2280,61.5,478,63,732,2110,1790,122,121.7,363,257,21.7,13,122,276,44,27,320,1.73,1.47,W14x82
W360x110,1.08,14100,331,1840,153,2060,55.7,435,63,664,1600,1610,110,110.2,360,256,19.9,11.4,122,277,42,26,320,1.72,1.47,W14x74
W360x101,0.992,12900,301,1690,153,1880,50.6,397,62.7,605,1250,1450,101,101.2,357,255,18.3,10.5,122,277,40,26,320,1.71,1.46,W14x68
W360x91,0.89,11500,267,1510,152,1680,44.8,353,62.3,538,914,1270,91,90.8,353,254,16.4,9.5,122,277,38,25,320,1.7,1.45,W14x61
W360x79,0.777,10100,226,1280,150,1430,24.2,236,48.9,362,811,687,79,79.2,354,205,16.8,9.4,98,277,39,25,320,1.51,1.3,W14x53
W360x72,0.701,9100,201,1150,149,1280,21.4,210,48.5,322,601,600,72,71.5,350,204,15.1,8.6,98,276,37,25,320,1.5,1.29,W14x48
W360x64,0.626,8130,178,1030,148,1140,18.8,186,48.1,284,436,524,64,63.9,347,203,13.5,7.7,98,276,35,25,320,1.49,1.29,W14x43
W360x57,0.555,7230,160,896,149,1010,11.1,129,39.3,199,333,331,57,56.6,358,172,13.1,7.9,82,295,31,21,332,1.39,1.22,W14x38
W360x51,0.496,6450,141,796,148,893,9.68,113,38.8,174,237,285,51,50.6,355,171,11.6,7.2,82,295,30,20,332,1.38,1.21,W14x34
W360x45,0.441,5710,122,691,146,778,8.18,95.7,37.8,148,159,239,45,45,352,171,9.8,6.9,82,296,28,20,332,1.37,1.2,W14x30
W360x39,0.383,4960,102,580,143,662,3.75,58.6,27.4,91.6,150,110,39,39.1,353,128,10.7,6.5,61,295,29,20,332,1.21,1.08,W14x26
W360x33,0.321,4190,82.6,473,141,541,2.91,45.8,26.4,71.8,85.3,84.3,33,32.7,349,127,8.5,5.8,61,296,27,20,332,1.19,1.07,W14x22
W310x500,4.91,63700,1690,7910,163,9880,494,2910,88,4490,101000,15300,500,500.4,427,340,75.1,45.1,147,233,97,43,277,2.12,1.78,W12x336
W310x454,4.45,57800,1480,7130,160,8820,436,2600,86.8,4000,77200,13100,454,454,415,336,68.7,41.3,147,234,91,41,278,2.09,1.76,W12x305
W310x415,4.07,52800,1300,6450,157,7900,391,2340,86,3610,59500,11300,415,415.1,403,334,62.7,38.9,148,234,85,40,278,2.06,1.73,W12x279
W310x375,3.68,47800,1130,5770,154,7000,344,2080,84.8,3210,44900,9570,375,374.8,391,330,57.2,35.4,147,233,79,38,277,2.03,1.7,W12x252
W310x342,3.37,43700,1010,5260,152,6330,310,1890,84.2,2910,34900,8420,342,343.2,382,328,52.6,32.6,148,233,74,37,277,2.01,1.68,W12x230
W310x313,3.07,39900,896,4790,150,5720,277,1700,83.3,2620,27000,7350,313,313.3,374,325,48.3,30,148,234,70,35,277,1.99,1.66,W12x210
W310x283,2.77,36000,787,4310,148,5100,246,1530,82.6,2340,20300,6330,283,282.9,365,322,44.1,26.9,148,233,66,34,277,1.96,1.64,W12x190
W310x253,2.48,32300,682,3830,146,4490,215,1350,81.6,2060,14800,5370,253,252.9,356,319,39.6,24.4,147,233,61,33,277,1.94,1.62,W12x170
W310x226,2.22,28800,596,3420,144,3970,189,1190,81,1830,10800,4620,226,226.7,348,317,35.6,22.1,147,233,57,31,277,1.92,1.6,W12x152
W310x202,1.99,25700,520,3050,142,3510,166,1050,80.2,1610,7730,3960,202,202.6,341,315,31.8,20.1,147,234,54,30,277,1.9,1.59,W12x136
W310x179,1.75,22800,445,2670,140,3050,144,919,79.5,1400,5370,3340,179,178.7,333,313,28.1,18,148,233,50,29,277,1.88,1.57,W12x120
W310x158,1.54,20100,386,2360,139,2670,125,805,78.9,1220,3770,2840,158,157.4,327,310,25.1,15.5,147,233,47,28,277,1.86,1.55,W12x106
W310x143,1.4,18200,348,2150,138,2420,113,729,78.6,1110,2860,2540,143,143.1,323,309,22.9,14,148,234,45,27,277,1.85,1.55,W12x96
W310x129,1.27,16500,308,1940,137,2160,100,652,78,991,2130,2220,129,129.6,318,308,20.6,13.1,147,233,42,27,277,1.84,1.53,W12x87
W310x118,1.15,15000,275,1750,136,1950,90.2,588,77.6,893,1600,1970,118,117.5,314,307,18.7,11.9,148,233,41,26,277,1.83,1.53,W12x79
W310x107,1.05,13600,248,1590,135,1760,81.2,531,77.2,806,1210,1760,107,106.9,311,306,17,10.9,148,233,39,26,277,1.82,1.52,W12x72
W310x97,0.949,12300,222,1440,134,1590,72.9,478,76.9,725,909,1560,97,96.8,308,305,15.4,9.9,148,234,37,26,277,1.82,1.51,W12x65
W310x86,0.847,11000,198,1280,134,1420,44.5,351,63.6,533,874,961,86,86.3,310,254,16.3,9.1,122,234,38,25,277,1.62,1.36,W12x58
W310x79,0.773,10100,177,1150,133,1280,39.9,314,63,478,655,847,79,78.9,306,254,14.6,8.8,123,234,36,24,277,1.61,1.36,W12x53
W310x74,0.726,9480,164,1060,132,1180,23.4,229,49.9,350,718,505,74,74,310,205,16.3,9.4,98,234,38,25,277,1.42,1.22,W12x50
W310x67,0.65,8520,144,942,131,1050,20.7,203,49.5,310,522,439,67,66.3,306,204,14.6,8.5,98,234,36,24,277,1.41,1.21,W12x45
W310x60,0.58,7610,128,842,130,933,18.3,180,49.3,275,378,384,60,59.1,303,203,13.1,7.5,98,234,35,24,277,1.4,1.2,W12x40
W310x52,0.513,6650,118,747,133,837,10.3,123,39.2,189,308,237,52,52.3,317,167,13.2,7.6,80,256,31,20,291,1.29,1.12,W12x35
W310x45,0.438,5670,99.2,634,132,708,8.55,103,38.8,158,191,195,45,44.6,313,166,11.2,6.6,80,256,29,19,291,1.28,1.11,W12x30
W310x39,0.38,4940,85.1,549,131,610,7.27,88.1,38.4,135,126,164,39,38.7,310,165,9.7,5.8,80,256,27,19,291,1.27,1.1,W12x26
W310x33,0.321,4180,65,415,125,480,1.92,37.6,21.4,59.6,122,43.8,33,32.8,313,102,10.8,6.6,48,264,24,15,291,1.02,0.919,W12x22
W310x28,0.278,3590,54.3,351,123,407,1.58,31,20.9,49.2,75.7,35.6,28,28.4,309,102,8.9,6,48,264,22,15,291,1.01,0.912,W12x19
W310x24,0.234,3040,42.7,280,119,328,1.16,22.9,19.5,36.7,42.5,25.7,24,23.8,305,101,6.7,5.6,48,265,20,15,292,1,0.902,W12x16
W310x21,0.207,2680,37,244,117,287,0.983,19.5,19.1,31.2,29.4,21.7,21,21.1,303,101,5.7,5.1,48,265,19,15,292,1,0.899,W12x14
W250x167,1.64,21200,300,2080,119,2430,98.8,746,68.1,1140,6310,1630,167,167.4,289,265,31.8,19.2,123,184,52,29,225,1.6,1.33,W10x112
W250x149,1.46,19000,259,1840,117,2130,86.2,656,67.4,1000,4510,1390,149,148.9,282,263,28.4,17.3,123,184,49,28,225,1.58,1.32,W10x100
W250x131,1.29,16700,221,1610,115,1850,74.5,571,66.8,870,3120,1160,131,131.1,275,261,25.1,15.4,123,184,46,27,225,1.56,1.3,W10x88
W250x115,1.13,14600,189,1410,114,1600,64.1,495,66.2,753,2130,976,115,114.8,269,259,22.1,13.5,123,184,43,26,225,1.55,1.29,W10x77
W250x101,0.992,12900,164,1240,113,1400,55.5,432,65.6,656,1490,829,101,101.2,264,257,19.6,11.9,123,184,40,25,225,1.53,1.28,W10x68
W250x89,0.878,11400,143,1100,112,1230,48.4,378,65.1,574,1040,713,89,89.6,260,256,17.3,10.7,123,184,38,24,225,1.52,1.27,W10x60
W250x80,0.786,10200,126,982,111,1090,43.1,338,65,513,757,623,80,80.1,256,255,15.6,9.4,123,184,36,24,225,1.51,1.26,W10x54
W250x73,0.715,9290,113,891,110,985,38.8,306,64.6,463,575,553,73,72.9,253,254,14.2,8.6,123,184,35,23,225,1.5,1.25,W10x49
W250x67,0.658,8580,104,806,110,901,22.2,218,51,332,625,324,67,67.1,257,204,15.7,8.9,98,185,36,23,226,1.31,1.11,W10x45
W250x58,0.571,7420,87.3,693,108,770,18.8,186,50.4,283,409,268,58,58.2,252,203,13.5,8,98,184,34,23,225,1.3,1.1,W10x39
W250x49,0.481,6260,70.6,572,106,633,15.1,150,49.2,228,241,211,49,49,247,202,11,7.4,97,184,32,23,225,1.29,1.09,W10x33
W250x45,0.44,5700,71.1,534,111,602,7.03,95.1,35.1,146,261,113,45,44.9,266,148,13,7.6,70,209,29,18,240,1.11,0.961,W10x30
W250x39,0.379,4910,60.1,459,110,513,5.94,80.8,34.7,124,169,93.4,39,38.7,262,147,11.2,6.6,70,209,27,17,240,1.1,0.952,W10x26
W250x33,0.321,4190,48.9,379,108,424,4.73,64.7,33.7,99.5,98.5,73.2,33,32.7,258,146,9.1,6.1,70,211,24,16,240,1.09,0.942,W10x22
W250x28,0.279,3630,40,307,105,353,1.78,34.8,22.1,54.7,96.7,27.7,28,28.5,260,102,10,6.4,48,213,24,15,240,0.915,0.813,W10x19
W250x25,0.249,3220,34.2,266,103,307,1.49,29.2,21.5,46.2,65.2,23,25,25.3,257,102,8.4,6.1,48,213,22,15,240,0.91,0.808,W10x17
W250x22,0.219,2850,28.9,227,101,263,1.23,24,20.7,38.1,43.4,18.7,22,22.4,254,102,6.9,5.8,48,213,20,15,240,0.904,0.802,W10x15
W250x18,0.175,2280,22.4,179,99.3,207,0.913,18.1,20,28.6,22.4,13.8,18,17.9,251,101,5.3,4.8,48,213,19,14,240,0.896,0.795,W10x12
W200x100,0.976,12700,113,989,94.5,1150,36.6,349,53.8,533,2090,386,100,99.5,229,210,23.7,14.5,98,148,40,22,182,1.27,1.06,W8x67
W200x86,0.85,11000,94.7,853,92.6,981,31.4,300,53.3,458,1390,318,86,86.7,222,209,20.6,13,98,147,37,22,181,1.25,1.04,W8x58
W200x71,0.701,9100,76.6,709,91.7,803,25.4,246,52.8,375,817,250,71,71.5,216,206,17.4,10.2,98,148,34,20,181,1.24,1.03,W8x48
W200x59,0.582,7550,61.1,582,89.9,653,20.4,199,52,303,463,196,59,59.3,210,205,14.2,9.1,98,148,31,20,182,1.22,1.02,W8x40
W200x52,0.512,6650,52.7,512,89,569,17.8,175,51.8,266,323,167,52,52.2,206,204,12.6,7.9,98,147,29,19,181,1.21,1.01,W8x35
W200x46,0.451,5890,45.4,448,88.1,495,15.3,151,51.2,229,220,141,46,46,203,203,11,7.2,98,148,28,19,181,1.2,1,W8x31
W200x42,0.409,5320,40.9,399,87.7,445,9,108,41.2,165,222,84,42,41.7,205,166,11.8,7.2,79,152,26,17,181,1.06,0.894,W8x28
W200x36,0.352,4570,34.4,342,86.7,379,7.64,92.6,40.9,141,145,69.6,36,35.9,201,165,10.2,6.2,79,152,25,16,181,1.05,0.885,W8x24
W200x31,0.308,3970,31.4,299,88.6,335,4.1,61.1,32,93.8,119,40.9,31,31.4,210,134,10.2,6.4,64,166,22,14,190,0.943,0.809,W8x21
W200x27,0.261,3390,25.8,249,87.3,279,3.3,49.6,31.2,76.1,71.3,32.5,27,26.6,207,133,8.4,5.8,64,167,20,13,190,0.934,0.801,W8x18
W200x22,0.22,2860,20,194,83.6,222,1.42,27.8,22.3,43.7,56.6,13.9,22,22.4,206,102,8,6.2,48,166,20,13,190,0.808,0.706,W8x15
W200x19,0.191,2480,16.6,163,81.7,187,1.15,22.6,21.6,35.6,36.2,11.1,19,19.4,203,102,6.5,5.8,48,165,19,14,190,0.802,0.7,W8x13
W200x15,0.147,1910,12.7,127,81.8,145,0.869,17.4,21.4,27.1,17.6,8.24,15,15,200,100,5.2,4.3,48,165,18,13,190,0.791,0.691,W8x10
W150x37,0.364,4740,22.2,274,68.5,310,7.07,91.8,38.7,140,192,40,37,37.1,162,154,11.6,8.1,73,114,24,15,139,0.924,0.77,W6x25
W150x30,0.292,3790,17.1,218,67.3,244,5.56,72.6,38.3,111,100,30.3,30,29.8,157,153,9.3,6.6,73,113,22,14,138,0.913,0.76,W6x20
W150x22,0.219,2860,12,159,65.1,176,3.87,50.9,36.9,77.5,41.5,20.4,22,22.3,152,152,6.6,5.8,73,114,19,14,139,0.9,0.748,W6x15
W150x24,0.235,3060,13.4,168,66.3,191,1.83,35.8,24.5,55.2,92.3,10.2,24,24,160,102,10.3,6.6,48,116,22,14,139,0.715,0.613,W6x16
W150x18,0.176,2290,9.15,120,63.3,136,1.26,24.7,23.5,38.2,36.9,6.7,18,17.9,153,102,7.1,5.8,48,115,19,13,139,0.702,0.6,W6x12
W150x14,0.133,1730,6.85,91.3,63,102,0.918,18.4,23,28.3,16.8,4.79,14,13.6,150,100,5.5,4.3,48,115,17,12,139,0.691,0.591,W6x9
W150x13,0.124,1630,6.13,82.8,61.7,93,0.818,16.4,22.5,25.3,13.6,4.19,13,12.6,148,100,4.9,4.3,48,115,17,12,138,0.687,0.587,W6x8.5
W130x28,0.275,3590,10.9,167,55.3,190,3.81,59.6,32.7,90.7,127,13.8,28,28.1,131,128,10.9,6.9,61,86,23,14,109,0.76,0.632,W5x19
W130x24,0.231,3040,8.79,138,54.1,156,3.11,49,32.2,74.5,76.2,10.8,24,23.6,127,127,9.1,6.1,60,85,21,13,109,0.75,0.623,W5x16
W100x19,0.19,2470,4.76,89.8,43.9,103,1.61,31.2,25.5,47.9,62.9,3.79,19,19.4,106,103,8.8,7.1,48,65,21,14,88,0.61,0.507,W4x13
