province,location,elev_m,jan_2_5_C,jan_1_C,jul_2_5_dry_C,jul_2_5_wet_C,degree_days_below_18,rain_15min_mm,one_day_rain_1_50_mm,annual_rain_mm,moisture_index,ann_total_ppn_mm,driving_rain_pressure_Pa,Ss_kPa,Sr_kPa,q_1_10_kPa,q_1_50_kPa,name_ok
Manitoba,Thompson,205,-40,-43,27,19,7600,18,86,350,0.6,540,100,2.4,0.2,0.28,0.36,True
Manitoba,Virden,435,-33,-35,30,23,5620,28,108,350,0.5,460,180,2.0,0.2,0.36,0.46,True
Manitoba,Winnipeg,235,-33,-35,30,23,5670,28,108,415,0.6,500,180,1.9,0.2,0.36,0.45,True
Ontario,Ailsa Craig,230,-17,-19,30,23,3840,25,103,800,0.9,950,180,2.2,0.4,0.37,0.48,True
Ontario,Ajax,95,-20,-22,30,23,3820,23,92,760,0.9,825,160,1.0,0.4,0.37,0.48,True
Ontario,Alexandria,80,-24,-26,30,23,4600,25,103,800,0.9,975,160,2.4,0.4,0.31,0.4,True
Ontario,Alliston,220,-23,-25,29,23,4200,28,113,690,0.8,875,120,2.0,0.4,0.28,0.36,True
Ontario,Almonte,120,-26,-28,30,23,4620,25,97,730,0.8,800,140,2.5,0.4,0.32,0.41,True
Ontario,Armstrong,340,-37,-40,28,21,6500,23,97,525,0.8,725,100,2.7,0.4,0.22,0.3,True
Ontario,Arnprior,85,-27,-29,30,23,4680,23,86,630,0.8,775,140,2.5,0.4,0.29,0.37,True
Ontario,Atikokan,400,-33,-35,29,22,5750,25,103,570,0.8,760,100,2.4,0.3,0.22,0.3,True
Ontario,Attawapiskat,10,-37,-39,28,21,7100,18,81,450,0.8,650,160,2.8,0.3,0.3,0.41,True
Ontario,Aurora,270,-21,-23,30,23,4210,28,108,700,0.8,800,140,2.0,0.4,0.34,0.44,True
Ontario,Bancroft,365,-28,-31,29,23,4740,25,92,720,0.9,900,100,3.1,0.4,0.25,0.32,True
Ontario,Barrie,245,-24,-26,29,23,4380,28,97,700,0.8,900,120,2.5,0.4,0.28,0.36,True
Ontario,Barriefield,100,-22,-24,28,23,3990,23,108,780,1.0,950,160,2.1,0.4,0.37,0.47,True
Ontario,Beaverton,240,-24,-26,30,23,4300,25,108,720,0.9,950,120,2.2,0.4,0.28,0.36,True
Ontario,Belleville,90,-22,-24,29,23,3910,23,97,760,0.9,850,180,1.7,0.4,0.34,0.43,True
Ontario,Belmont,260,-17,-19,30,24,3840,25,97,850,1.0,950,180,1.7,0.4,0.37,0.47,True
Ontario,Borden (CFB),225,-23,-25,29,23,4300,28,103,690,0.82,875,120,2.2,0.4,0.28,0.36,True
Ontario,Bracebridge,310,-26,-28,29,23,4800,25,103,830,1.0,1050,120,3.1,0.4,0.27,0.35,True
Ontario,Bradford,240,-23,-25,30,23,4280,28,108,680,0.8,800,120,2.1,0.4,0.28,0.36,True
Ontario,Brampton,215,-19,-21,30,23,4100,28,119,720,0.8,820,140,1.3,0.4,0.34,0.44,True
Ontario,Brantford,205,-18,-20,30,23,3900,23,103,780,0.9,850,160,1.3,0.4,0.33,0.42,True
Ontario,Brighton,95,-21,-23,29,23,4000,23,94,760,0.9,850,160,1.6,0.4,0.37,0.48,True
Ontario,Brockville,85,-23,-25,29,23,4060,25,103,770,0.9,975,180,2.2,0.4,0.34,0.44,True
Ontario,Burk's Falls,305,-26,-28,29,22,5020,25,97,810,0.9,1010,120,2.7,0.4,0.27,0.35,True
Ontario,Burlington,80,-17,-19,31,23,3740,23,103,770,0.9,850,160,1.1,0.4,0.36,0.46,True
Ontario,Cambridge,295,-18,-20,29,23,4100,25,113,800,0.9,890,160,1.6,0.4,0.28,0.36,True
Ontario,Campbellford,150,-23,-26,30,23,4280,25,97,730,0.9,850,160,1.7,0.4,0.32,0.41,True
Ontario,Cannington,255,-24,-26,30,23,4310,25,108,740,0.9,950,120,2.2,0.4,0.28,0.36,True
Ontario,Carleton Place,135,-25,-27,30,23,4600,25,97,730,0.8,850,160,2.5,0.4,0.32,0.41,True
Ontario,Cavan,200,-23,-25,30,23,4400,25,97,740,0.9,850,140,2.0,0.4,0.34,0.44,True
Ontario,Centralia,260,-17,-19,30,23,3800,25,103,820,1.0,1000,180,2.3,0.4,0.37,0.48,True
Ontario,Chapleau,425,-35,-38,27,21,5900,20,97,530,0.7,850,80,3.6,0.4,0.23,0.3,True
Ontario,Chatham,180,-16,-18,31,24,3470,28,103,800,0.9,850,180,1.0,0.4,0.34,0.43,True
Ontario,Chesley,275,-19,-21,29,22,4320,28,103,810,0.9,1125,140,2.8,0.4,0.35,0.45,True
Ontario,Clinton,280,-17,-19,29,23,4150,25,103,810,0.9,1000,160,2.6,0.4,0.36,0.46,True
Ontario,Coboconk,270,-25,-27,30,23,4500,25,108,740,0.9,950,120,2.5,0.4,0.27,0.35,True
Ontario,Cobourg,90,-21,-23,29,23,3980,23,94,760,0.9,825,160,1.2,0.4,0.38,0.49,True
Ontario,Cochrane,245,-34,-36,29,21,6200,20,92,575,0.8,875,80,2.8,0.3,0.27,0.35,True
Ontario,Colborne,105,-21,-23,29,23,3980,23,94,760,0.9,850,160,1.6,0.4,0.38,0.49,True
Ontario,Collingwood,190,-21,-23,29,23,4180,28,97,720,0.9,950,160,2.7,0.4,0.3,0.39,True
Ontario,Cornwall,35,-23,-25,30,23,4250,25,103,780,0.9,960,180,2.2,0.4,0.32,0.41,True
Ontario,Corunna,185,-16,-18,31,24,3600,25,100,760,0.9,800,180,1.0,0.4,0.37,0.47,True
Ontario,Deep River,145,-29,-32,30,22,4900,23,92,650,0.8,850,100,2.5,0.4,0.27,0.35,True
Ontario,Deseronto,85,-22,-24,29,23,4070,23,92,760,0.9,900,160,1.9,0.4,0.34,0.43,True
Ontario,Dorchester,260,-18,-20,30,24,3900,28,103,850,1.0,950,180,1.9,0.4,0.37,0.47,True
Ontario,Dorion,200,-33,-35,28,21,5950,20,103,550,0.8,725,160,2.8,0.4,0.29,0.39,True
Ontario,Dresden,185,-16,-18,31,24,3750,28,97,760,0.8,820,180,1.0,0.4,0.34,0.43,True
Ontario,Dryden,370,-34,-36,28,22,5850,25,97,550,0.7,700,120,2.4,0.3,0.22,0.3,True
Ontario,Dundalk,525,-22,-24,29,22,4700,28,108,750,0.9,1080,150,3.2,0.4,0.33,0.42,True
Ontario,Dunnville,175,-15,-17,30,24,3660,23,108,830,1.0,950,160,2.0,0.4,0.36,0.46,True
Ontario,Durham,340,-20,-22,29,22,4340,28,103,815,0.9,1025,140,2.8,0.4,0.34,0.44,True
Ontario,Dutton,225,-16,-18,31,24,3700,28,92,850,1.0,925,180,1.3,0.4,0.37,0.47,True
Ontario,Earlton,245,-33,-36,29,22,5730,23,92,560,0.8,820,120,3.1,0.4,0.35,0.45,True
Ontario,Edison,365,-34,-36,28,22,5740,25,108,510,0.7,680,120,2.4,0.3,0.23,0.31,True
Ontario,Elliot Lake,380,-26,-28,29,21,4950,23,108,630,0.8,950,160,2.9,0.4,0.3,0.38,True
Ontario,Elmvale,220,-24,-26,29,23,4200,28,97,720,0.9,950,140,2.6,0.4,0.28,0.36,True
Ontario,Embro,310,-19,-21,30,23,3950,28,113,830,0.9,950,160,2.0,0.4,0.37,0.48,True
Ontario,Englehart,205,-33,-36,29,22,5800,23,92,600,0.8,880,100,2.8,0.4,0.32,0.41,True
Ontario,Espanola,220,-25,-27,29,21,4920,23,108,650,0.8,840,160,2.3,0.4,0.33,0.42,True
Ontario,Exeter,265,-17,-19,30,23,3900,25,113,810,0.9,975,180,2.4,0.4,0.37,0.48,True
Ontario,Fenelon Falls,260,-25,-27,30,23,4440,25,108,730,0.9,950,120,2.3,0.4,0.28,0.36,True
Ontario,Fergus,400,-20,-22,29,23,4300,28,108,760,0.9,925,160,2.2,0.4,0.28,0.36,True
Ontario,Forest,215,-16,-18,31,23,3740,25,103,810,1.0,875,160,2.0,0.4,0.37,0.48,True
Ontario,Fort Erie,180,-15,-17,30,24,3650,23,108,860,1.0,1020,160,2.3,0.4,0.36,0.46,True
Ontario,Fort Erie (Ridgeway),190,-15,-17,30,24,3600,25,108,860,1.0,1000,160,2.3,0.4,0.36,0.46,True
Ontario,Fort Frances,340,-33,-35,29,22,5440,25,108,570,0.7,725,120,2.3,0.3,0.23,0.31,True
Ontario,Gananoque,80,-22,-24,28,23,4010,23,103,760,0.9,900,180,2.1,0.4,0.37,0.47,True
Ontario,Geraldton,345,-36,-39,28,21,6450,20,86,550,0.8,725,100,2.9,0.4,0.22,0.3,True
Ontario,Glencoe,215,-16,-18,31,24,3680,28,103,800,0.9,925,180,1.5,0.4,0.34,0.43,True
Ontario,Goderich,185,-16,-18,29,23,4000,25,92,810,1.0,950,180,2.4,0.4,0.37,0.48,True
Ontario,Gore Bay,205,-24,-26,28,22,4700,23,92,640,0.8,860,160,2.6,0.4,0.34,0.44,True
Ontario,Graham,495,-35,-37,29,22,5940,23,97,570,0.8,750,140,2.6,0.3,0.22,0.3,True
Ontario,Gravenhurst,255,-26,-28,29,23,4760,25,103,790,0.9,1050,120,2.7,0.4,0.28,0.36,True
Ontario,Grimsby,85,-16,-18,30,23,3520,23,108,760,0.9,875,160,0.9,0.4,0.36,0.46,True
Ontario,Guelph,340,-19,-21,29,23,4270,28,103,770,0.9,875,140,1.9,0.4,0.28,0.36,True
Ontario,Guthrie,280,-24,-26,29,23,4300,28,103,700,0.8,950,120,2.5,0.4,0.28,0.36,True
Ontario,Haileybury,210,-32,-35,30,22,5600,23,92,590,0.8,820,120,2.4,0.4,0.34,0.44,True
Ontario,Haldimand,190,-18,-20,30,23,3750,23,108,810,0.9,875,160,1.2,0.4,0.34,0.44,True
Ontario,Haldimand,215,-17,-19,30,23,3760,25,97,840,1.0,875,160,1.3,0.4,0.36,0.46,True
Ontario,Haliburton,335,-27,-29,29,23,4840,25,92,780,0.9,980,100,2.9,0.4,0.27,0.35,True
Ontario,Halton Hills,255,-19,-21,30,23,4200,28,119,750,0.8,850,140,1.4,0.4,0.29,0.37,True
Ontario,Hamilton,90,-17,-19,31,23,3460,23,108,810,0.9,875,160,1.1,0.4,0.36,0.46,True
Ontario,Hanover,270,-19,-21,29,22,4300,28,103,790,0.9,1050,140,2.6,0.4,0.34,0.44,True
Ontario,Hastings,200,-24,-26,30,23,4280,25,92,730,0.9,840,140,2.0,0.4,0.32,0.41,True
Ontario,Hawkesbury,50,-25,-27,30,23,4610,23,103,800,0.9,925,160,2.3,0.4,0.32,0.41,True
Ontario,Hearst,245,-35,-37,29,21,6450,20,86,520,0.7,825,80,2.8,0.3,0.23,0.3,True
Ontario,Honey,180,-24,-26,29,23,4300,25,97,710,0.9,1050,160,2.7,0.4,0.3,0.39,True
Ontario,Hornepayne,360,-37,-40,28,21,6340,20,93,420,0.7,750,80,3.3,0.4,0.22,0.3,True
Ontario,Huntsville,335,-26,-29,29,22,4850,25,103,800,0.9,1000,120,2.9,0.4,0.27,0.35,True
Ontario,Ingersoll,280,-18,-20,30,23,3920,28,108,840,1.0,950,180,1.7,0.4,0.37,0.48,True
Ontario,Iroquois Falls,275,-33,-36,29,21,6100,20,86,575,0.8,825,100,2.9,0.3,0.29,0.37,True
Ontario,Jellicoe,330,-36,-39,28,21,6400,20,86,550,0.8,750,100,2.7,0.4,0.22,0.3,True
Ontario,Kapuskasing,245,-34,-36,29,21,6250,20,86,550,0.8,825,100,3.0,0.3,0.24,0.31,True
Ontario,Kemptville,90,-25,-27,30,23,4540,25,92,750,0.9,925,160,2.3,0.4,0.32,0.41,True
Ontario,Kenora,370,-33,-35,28,22,5630,25,113,515,0.6,630,120,2.5,0.3,0.23,0.31,True
Ontario,Killaloe,185,-28,-31,30,22,4960,23,86,680,0.8,825,120,2.7,0.4,0.27,0.35,True
Ontario,Kincardine,190,-17,-19,28,22,3890,25,92,800,1.0,950,180,2.6,0.4,0.37,0.48,True
Ontario,Kingston,80,-22,-24,28,23,4000,23,108,780,1.0,950,180,2.1,0.4,0.37,0.47,True
Ontario,Kinmount,295,-26,-28,29,23,4600,25,108,750,0.9,950,120,2.7,0.4,0.27,0.35,True
Ontario,Kirkland Lake,325,-33,-36,29,22,6000,23,92,600,0.8,875,100,2.9,0.3,0.3,0.39,True
Ontario,Kitchener,335,-19,-21,29,23,4200,28,119,780,0.9,925,140,2.0,0.4,0.29,0.37,True
Ontario,n,215,-38,-40,26,20,7450,18,92,400,0.75,600,150,3.2,0.2,0.31,0.42,False
Ontario,Lakefield,240,-24,-26,30,23,4330,25,92,720,0.9,850,140,2.2,0.4,0.3,0.38,True
Ontario,Lansdowne House,240,-38,-40,28,21,7150,23,92,500,0.8,680,140,3.0,0.2,0.24,0.32,True
Ontario,Leamington,190,-15,-17,31,24,3400,28,113,800,0.9,875,180,0.8,0.4,0.37,0.47,True
Ontario,Lindsay,265,-24,-26,30,23,4320,25,103,720,0.8,850,140,2.3,0.4,0.3,0.38,True
Ontario,Lion's Head,185,-19,-21,27,22,4300,25,103,700,0.9,950,180,2.7,0.4,0.37,0.48,True
Ontario,Listowel,380,-19,-21,29,23,4300,28,119,800,0.9,1000,160,2.6,0.4,0.34,0.43,True
Ontario,London,245,-18,-20,30,24,3900,28,103,825,0.9,975,180,1.9,0.4,0.37,0.47,True
Ontario,Lucan,300,-17,-19,30,23,3900,25,113,810,0.9,1000,180,2.3,0.4,0.37,0.48,True
Ontario,Maitland,85,-23,-25,29,23,4080,25,103,770,0.9,975,180,2.2,0.4,0.34,0.44,True
Ontario,Markdale,425,-20,-22,29,22,4500,28,103,820,0.9,1050,160,3.2,0.4,0.32,0.41,True
Ontario,Markham,175,-21,-23,31,24,4000,25,86,720,0.8,825,140,1.3,0.4,0.34,0.44,True
Ontario,Martin,485,-35,-37,29,22,5900,25,103,560,0.8,750,120,2.6,0.3,0.22,0.3,True
Ontario,Matheson,265,-33,-36,29,21,6080,20,86,580,0.8,825,100,2.8,0.3,0.3,0.39,True
Ontario,Mattawa,165,-29,-31,30,22,5050,23,86,700,0.9,875,100,2.1,0.4,0.25,0.32,True
Ontario,Midland,190,-24,-26,29,23,4200,25,97,740,0.9,1060,160,2.7,0.4,0.3,0.39,True
Ontario,Milton,200,-18,-20,30,23,3920,25,125,750,0.9,850,160,1.3,0.4,0.34,0.43,True
Ontario,Milverton,370,-19,-21,29,23,4200,28,108,800,0.9,1050,160,2.4,0.4,0.34,0.43,True
Ontario,Minden,270,-27,-29,29,23,4640,25,97,780,0.9,1010,100,2.7,0.4,0.27,0.35,True
Ontario,Mississauga,160,-18,-20,30,23,3880,25,113,720,0.9,800,160,1.1,0.4,0.34,0.44,True
Ontario,Mississauga (Lester B.,170,-20,-22,31,24,3890,26,108,685,0.8,790,160,1.1,0.4,0.34,0.44,False
Ontario,Mississauga,75,-18,-20,29,23,3780,25,108,720,0.9,800,160,0.9,0.4,0.37,0.48,True
Ontario,Mitchell,335,-18,-20,29,23,4100,28,113,810,0.9,1050,160,2.4,0.4,0.35,0.45,True
Ontario,Moosonee,10,-36,-38,28,22,6800,18,81,500,0.8,700,160,2.7,0.3,0.26,0.35,True
Ontario,Morrisburg,75,-23,-25,30,23,4370,25,103,800,0.9,950,180,2.3,0.4,0.32,0.41,True
Ontario,Mount Forest,420,-21,-24,28,22,4700,28,103,740,0.9,940,140,2.7,0.4,0.32,0.41,True
Ontario,Nakina,325,-36,-38,28,21,6500,20,86,540,0.8,750,100,2.8,0.4,0.22,0.3,True
Ontario,Nanticoke,205,-17,-18,30,23,3700,28,108,840,1.0,900,160,1.4,0.4,0.37,0.48,True
Ontario,Nanticoke (Port Dover),180,-15,-17,30,24,3600,25,108,860,1.0,950,140,1.2,0.4,0.37,0.48,True
Ontario,Napanee,90,-22,-24,29,23,4140,23,92,770,0.9,900,160,1.9,0.4,0.34,0.43,True
Ontario,Newcastle,115,-20,-22,30,23,3990,23,86,760,0.9,830,160,1.5,0.4,0.37,0.48,True
Ontario,New Liskeard,180,-32,-35,30,22,5570,23,92,570,0.8,810,100,2.6,0.4,0.34,0.43,True
Ontario,Newmarket,185,-22,-24,30,23,4260,28,108,700,0.8,800,140,2.0,0.4,0.3,0.38,True
Ontario,Niagara Falls,210,-16,-18,30,23,3600,23,96,810,0.9,950,160,1.8,0.4,0.34,0.43,True
Ontario,North Bay,210,-28,-30,28,22,5150,25,95,775,0.9,975,120,2.2,0.4,0.27,0.34,True
Ontario,Norwood,225,-24,-26,30,23,4320,25,92,720,0.8,850,120,2.1,0.4,0.32,0.41,True
Ontario,Oakville,90,-18,-20,30,23,3760,23,97,750,0.9,850,160,1.1,0.4,0.37,0.47,True
Ontario,Orangeville,430,-21,-23,29,23,4450,28,108,730,0.8,875,140,2.3,0.4,0.28,0.36,True
Ontario,Orillia,230,-25,-27,29,23,4260,25,103,740,0.9,1000,120,2.4,0.4,0.28,0.36,True
Ontario,Oshawa,110,-19,-21,30,23,3860,23,86,760,0.9,875,160,1.4,0.4,0.37,0.48,True
Ontario,Ottawa (Barrhaven),98,-25,-27,30,23,4500,25,92,750,0.8,900,160,2.4,0.4,0.32,0.41,True
Ontario,Ottawa (City Hall),70,-25,-27,30,23,4440,23,86,750,0.8,900,160,2.4,0.4,0.32,0.41,True
Ontario,Ottawa (Kanata),98,-25,-27,30,23,4520,25,92,730,0.8,900,160,2.5,0.4,0.32,0.41,True
Ontario,Ottawa (M-C Int'l,125,-25,-27,30,23,4500,24,89,750,0.8,900,160,2.4,0.4,0.32,0.41,False
Ontario,Ottawa (Orleans),70,-26,-28,30,23,4500,23,91,750,0.8,900,160,2.4,0.4,0.32,0.41,True
Ontario,Owen Sound,215,-19,-21,29,22,4030,28,113,760,0.9,1075,160,2.8,0.4,0.34,0.44,True
Ontario,Pagwa River,185,-35,-37,28,21,6500,20,86,540,0.8,825,80,2.7,0.4,0.22,0.3,True
Ontario,Paris,245,-18,-20,30,23,4000,23,96,790,0.9,925,160,1.4,0.4,0.33,0.42,True
Ontario,Parkhill,205,-16,-18,31,23,3800,25,103,800,0.9,925,180,2.1,0.4,0.37,0.48,True
Ontario,Parry Sound,215,-24,-26,28,22,4640,23,97,820,1.0,1050,160,2.8,0.4,0.3,0.39,True
Ontario,Pelham (Fonthill),230,-15,-17,30,23,3690,23,96,820,0.9,950,160,2.1,0.4,0.33,0.42,True
Ontario,Pembroke,125,-28,-31,30,23,4980,23,105,640,0.8,825,100,2.5,0.4,0.27,0.35,True
Ontario,Penetanguishene,220,-24,-26,29,23,4200,25,97,720,0.9,1050,160,2.8,0.4,0.3,0.39,True
Ontario,Perth,130,-25,-27,30,23,4540,25,92,730,0.8,900,140,2.3,0.4,0.32,0.41,True
Ontario,Petawawa,135,-29,-31,30,23,4980,23,92,640,0.8,825,100,2.6,0.4,0.27,0.35,True
Ontario,Peterborough,200,-23,-25,30,23,4400,25,92,710,0.8,840,140,2.0,0.4,0.32,0.41,True
Ontario,Petrolia,195,-16,-18,31,24,3640,25,108,810,0.9,920,180,1.3,0.4,0.37,0.47,True
Ontario,Pickering,85,-19,-21,30,23,3800,23,92,730,0.9,825,140,1.0,0.4,0.37,0.48,True
Ontario,Picton,95,-21,-23,29,23,3980,23,92,770,0.9,940,160,2.0,0.4,0.38,0.49,True
Ontario,Plattsville,300,-19,-21,29,23,4150,28,103,820,0.9,950,140,1.9,0.4,0.33,0.42,True
Ontario,Point Alexander,150,-29,-32,30,22,4960,23,92,650,0.8,850,100,2.5,0.4,0.27,0.35,True
Ontario,Port Burwell,195,-15,-17,30,24,3800,25,92,930,1.1,1000,180,1.2,0.4,0.37,0.47,True
Ontario,Port Colborne,180,-15,-17,30,24,3600,23,108,850,1.0,1000,160,2.1,0.4,0.36,0.46,True
Ontario,Port Elgin,205,-17,-19,28,22,4100,25,92,790,0.9,850,180,2.8,0.4,0.37,0.48,True
Ontario,Port Hope,100,-21,-23,29,23,3970,23,94,760,0.9,825,180,1.2,0.4,0.37,0.48,True
Ontario,Port Perry,270,-22,-24,30,23,4260,25,97,720,0.8,850,140,2.4,0.4,0.34,0.44,True
Ontario,Port Stanley,180,-15,-17,31,24,3850,25,92,940,1.1,975,180,1.2,0.4,0.37,0.47,True
Ontario,Prescott,90,-23,-25,29,23,4120,25,103,770,0.9,975,180,2.2,0.4,0.34,0.44,True
Ontario,Princeton,280,-18,-20,30,23,4000,25,97,810,0.9,925,160,1.5,0.4,0.33,0.42,True
Ontario,Raith,475,-34,-37,28,22,5900,23,97,570,0.8,750,120,2.7,0.4,0.22,0.3,True
Ontario,Rayside-Balfour,270,-28,-30,29,21,5200,25,92,650,0.8,850,180,2.5,0.4,0.35,0.45,True
Ontario,Red Lake,360,-35,-37,28,21,6220,20,92,470,0.7,630,120,2.6,0.3,0.22,0.3,True
Ontario,Renfrew,115,-27,-30,30,23,4900,23,97,620,0.8,810,140,2.5,0.4,0.27,0.35,True
Ontario,Richmond Hill,230,-21,-23,31,24,4000,25,97,740,0.8,850,140,1.5,0.4,0.34,0.44,True
Ontario,Rockland,50,-26,-28,30,23,4600,23,92,780,0.9,950,160,2.4,0.4,0.31,0.4,True
Ontario,Sarnia,190,-16,-18,31,24,3750,25,100,750,0.9,825,180,1.1,0.4,0.37,0.47,True
Ontario,Sault Ste. Marie,190,-25,-28,29,22,4960,23,97,660,0.9,950,200,3.1,0.4,0.33,0.44,True
Ontario,Schreiber,310,-34,-36,27,21,5960,20,103,600,0.8,850,160,3.3,0.4,0.29,0.39,True
Ontario,Seaforth,310,-17,-19,30,23,4100,25,108,810,0.9,1025,160,2.5,0.4,0.35,0.45,True
Ontario,Shelburne,495,-22,-24,29,23,4700,28,108,740,0.9,900,150,3.1,0.4,0.31,0.4,True
Ontario,Simcoe,210,-17,-19,30,24,3700,28,113,860,1.0,950,160,1.3,0.4,0.35,0.45,True
Ontario,Sioux Lookout,375,-34,-36,28,22,5950,25,97,520,0.7,710,100,2.6,0.3,0.22,0.3,True
Ontario,Smiths Falls,130,-25,-27,30,23,4540,25,92,730,0.8,850,140,2.3,0.4,0.32,0.41,True
Ontario,Smithville,185,-16,-18,30,23,3650,23,108,800,0.9,900,160,1.5,0.4,0.33,0.42,True
Ontario,Smooth Rock Falls,235,-34,-36,29,21,6250,20,92,560,0.8,850,80,2.7,0.3,0.25,0.32,True
Ontario,Southampton,180,-17,-19,28,22,4100,25,92,800,1.0,830,180,2.7,0.4,0.37,0.48,True
Ontario,South River,355,-27,-29,29,22,5090,25,103,830,1.0,975,120,2.8,0.4,0.27,0.35,True
Ontario,St. Catharines,105,-16,-18,30,23,3540,23,92,770,0.9,850,160,1.0,0.4,0.36,0.46,True
Ontario,St. Marys,310,-18,-20,30,23,4000,28,108,820,1.0,1025,160,2.2,0.4,0.37,0.47,True
Ontario,St. Thomas,225,-16,-18,31,24,3780,25,103,900,1.0,975,180,1.4,0.4,0.37,0.47,True
Ontario,Stirling,120,-23,-25,30,23,4220,25,97,740,0.9,850,120,1.7,0.4,0.31,0.4,True
Ontario,Stratford,360,-18,-20,29,23,4050,28,113,820,1.0,1050,160,2.3,0.4,0.35,0.45,True
Ontario,Strathroy,225,-17,-19,31,24,3780,25,103,770,0.9,950,180,1.9,0.4,0.37,0.47,True
Ontario,Sturgeon Falls,205,-28,-30,29,21,5200,25,95,700,0.9,910,140,2.4,0.4,0.27,0.35,True
Ontario,Sudbury,275,-28,-30,29,21,5180,25,97,650,0.8,875,200,2.5,0.4,0.36,0.46,True
Ontario,Sundridge,340,-27,-29,29,22,5080,25,97,840,1.0,975,120,2.8,0.4,0.27,0.35,True
Ontario,Tavistock,340,-19,-21,29,23,4100,28,113,820,1.0,1010,160,2.1,0.4,0.35,0.45,True
Ontario,Temagami,300,-30,-33,30,22,5420,23,92,650,0.8,875,120,2.6,0.4,0.29,0.37,True
Ontario,Thamesford,280,-19,-21,30,23,3950,28,108,820,0.9,975,160,1.9,0.4,0.37,0.48,True
Ontario,Thedford,205,-16,-18,31,23,3710,25,103,810,1.0,900,180,2.1,0.4,0.37,0.48,True
Ontario,Thunder Bay,210,-31,-33,29,21,5650,23,108,560,0.8,710,160,2.9,0.4,0.29,0.39,True
Ontario,Tillsonburg,215,-17,-19,30,24,3840,25,103,880,1.0,980,160,1.3,0.4,0.34,0.44,True
Ontario,Timmins,300,-34,-36,29,21,5940,20,108,560,0.8,875,100,3.1,0.3,0.27,0.35,True
Ontario,Timmins (Porcupine),295,-34,-36,29,21,6000,20,103,560,0.8,875,100,2.9,0.3,0.29,0.37,True
Ontario,Etobicoke,160,-20,-22,31,24,3800,26,108,720,0.8,800,160,1.1,0.4,0.34,0.44,True
Ontario,North York,175,-20,-22,31,24,3760,25,108,730,0.8,850,150,1.2,0.4,0.34,0.44,True
Ontario,Scarborough,180,-20,-22,31,24,3800,25,92,730,0.9,825,160,1.2,0.4,0.37,0.47,True
Ontario,Toronto (City Hall),90,-18,-20,31,23,3520,25,97,720,0.9,820,160,0.9,0.4,0.34,0.44,True
Ontario,Trenton,80,-22,-24,29,23,4110,23,97,760,0.9,850,160,1.6,0.4,0.37,0.47,True
Ontario,Trout Creek,330,-27,-29,29,22,5100,25,103,780,0.9,975,120,2.7,0.4,0.27,0.35,True
Ontario,Uxbridge,275,-22,-24,30,23,4240,25,103,700,0.8,850,140,2.4,0.4,0.33,0.42,True
Ontario,Vaughan,165,-20,-22,31,24,4100,26,113,700,0.8,800,140,1.1,0.4,0.34,0.44,True
Ontario,Vittoria,215,-15,-17,30,24,3680,25,113,880,1.0,950,160,1.3,0.4,0.37,0.47,True
Ontario,Walkerton,275,-18,-20,30,22,4300,28,103,790,0.9,1025,160,2.7,0.4,0.36,0.46,True
Ontario,Wallaceburg,180,-16,-18,31,24,3600,28,97,760,0.9,825,180,0.9,0.4,0.35,0.45,True
Ontario,Waterloo,330,-19,-21,29,23,4200,28,119,780,0.9,925,160,2.0,0.4,0.29,0.37,True
Ontario,Watford,240,-17,-19,31,24,3740,25,108,790,0.9,950,160,1.9,0.4,0.37,0.47,True
Ontario,Wawa,290,-34,-36,26,21,5840,20,93,725,0.9,950,160,3.4,0.4,0.3,0.39,True
Ontario,Welland,180,-15,-17,30,23,3670,23,103,840,1.0,975,160,2.0,0.4,0.34,0.43,True
Ontario,West Lorne,215,-16,-18,31,24,3700,28,103,840,1.0,900,180,1.3,0.4,0.37,0.47,True
Ontario,Whitby,85,-20,-22,30,23,3820,23,86,760,0.9,850,160,1.2,0.4,0.37,0.48,True
Ontario,Whitby (Brooklin),160,-20,-22,30,23,4010,23,86,770,0.9,850,140,1.9,0.4,0.35,0.45,True
Ontario,White River,375,-39,-42,28,21,6150,20,92,575,0.8,825,100,3.6,0.4,0.22,0.3,True
Ontario,Wiarton,185,-19,-21,29,22,4300,25,103,740,0.9,1000,180,2.7,0.4,0.34,0.44,True
Ontario,Windsor,185,-16,-18,32,24,3400,28,103,800,0.9,900,180,0.8,0.4,0.37,0.47,True
Ontario,Wingham,310,-18,-20,30,23,4220,28,108,780,0.9,1050,160,2.6,0.4,0.36,0.46,True
Ontario,Woodstock,300,-19,-21,30,23,3910,28,113,830,0.9,930,160,1.9,0.4,0.34,0.44,True
Ontario,Wyoming,215,-16,-18,31,24,3700,25,103,815,0.9,900,180,1.6,0.4,0.37,0.47,True
Quebec,Acton Vale,95,-24,-27,30,23,4620,21,107,860,1.0,1050,180,2.3,0.4,0.27,0.35,True
Quebec,Alma,110,-31,-33,28,22,5800,20,91,700,0.9,950,160,3.3,0.4,0.27,0.35,True
Quebec,Amos,295,-34,-36,28,21,6160,20,91,670,0.9,920,100,3.2,0.3,0.25,0.32,True
Quebec,Asbestos,245,-26,-28,29,22,4800,23,96,870,1.0,1050,160,2.8,0.6,0.27,0.35,True
Quebec,Aylmer,90,-25,-28,30,23,4520,23,91,730,0.8,900,160,2.5,0.4,0.32,0.41,True
