province,location,elev_m,jan_2_5_C,jan_1_C,jul_2_5_dry_C,jul_2_5_wet_C,degree_days_below_18,rain_15min_mm,one_day_rain_1_50_mm,annual_rain_mm,moisture_index,ann_total_ppn_mm,driving_rain_pressure_Pa,Ss_kPa,Sr_kPa,q_1_10_kPa,q_1_50_kPa,name_ok
British Columbia,Merritt,570,-24,-27,34,20,3900,8,54,240,0.2,310,80,1.8,0.3,0.33,0.44,True
British Columbia,Mission City,45,-9,-11,30,20,2850,13,123,1650,1.7,1700,160,2.4,0.3,0.32,0.43,True
British Columbia,Montrose,615,-16,-18,32,20,3600,10,54,480,0.6,700,60,4.1,0.1,0.26,0.35,True
British Columbia,Nakusp,445,-20,-22,31,20,3560,10,60,650,0.8,850,60,4.4,0.1,0.25,0.33,True
British Columbia,Nanaimo,15,-6,-8,27,19,2920,10,91,1000,1.1,1050,200,2.1,0.4,0.38,0.48,True
British Columbia,Nelson,600,-18,-20,31,20,3500,10,59,460,0.6,700,60,4.2,0.1,0.25,0.33,True
British Columbia,Ocean Falls,10,-10,-12,23,17,3400,13,260,4150,4.2,4300,350,3.9,0.8,0.44,0.59,True
British Columbia,Osoyoos,285,-14,-17,35,21,3100,10,48,275,0.3,310,60,1.1,0.1,0.3,0.4,True
British Columbia,Parksville,40,-6,-8,26,19,2990,10,91,1200,1.3,1250,200,2.0,0.4,0.4,0.48,True
British Columbia,Penticton,350,-15,-17,33,20,3350,10,48,275,0.3,300,60,1.3,0.1,0.3,0.4,True
British Columbia,Port Alberni,15,-5,-8,31,19,3100,10,161,1900,2.0,2000,240,2.6,0.4,0.24,0.32,True
British Columbia,Port Alice,25,-3,-6,26,17,3010,13,200,3300,3.4,3340,220,1.1,0.4,0.24,0.32,True
British Columbia,Port Hardy,5,-5,-7,20,16,3440,13,150,1775,1.9,1850,220,0.9,0.4,0.36,0.48,True
British Columbia,Port McNeill,5,-5,-7,22,17,3410,13,128,1750,1.9,1850,260,1.1,0.4,0.36,0.48,True
British Columbia,Port Renfrew,20,-3,-5,24,17,2900,13,200,3600,3.6,3675,270,1.1,0.4,0.42,0.52,True
British Columbia,Powell River,10,-7,-9,26,18,3100,10,80,1150,1.3,1200,220,1.7,0.4,0.39,0.48,True
